Settore,Numero_Aziende,Percentuale_Totale,Comune
Industrie,72,0.1119,Cortenuova
Servizi,25,6.9,Cortenuova
Amministrazione,4,1.1,Cortenuova
Altro,28,10.1,Cortenuova
Industrie,28,7.3,Colobraro
Servizi,30,4.9,Colobraro
Amministrazione,9,14.5,Colobraro
Altro,38,11.1,Colobraro
Industrie,43,29.5,Vietri sul Mare
Servizi,210,31.8,Vietri sul Mare
Amministrazione,47,29.9,Vietri sul Mare
Altro,261,84.3,Vietri sul Mare
Industrie,18,6.5,San Tomaso Agordino
Servizi,5,2.5,San Tomaso Agordino
Amministrazione,11,4.9,San Tomaso Agordino
Altro,12,3.7,San Tomaso Agordino
Industrie,45,16.8,Albosaggia
Servizi,40,6.0,Albosaggia
Amministrazione,9,4.8,Albosaggia
Altro,45,14.7,Albosaggia
Industrie,125,80.4,Lipomo
Servizi,129,41.6,Lipomo
Amministrazione,18,11.2,Lipomo
Altro,138,44.4,Lipomo
Industrie,78,38.3,Pianengo
Servizi,44,10.6,Pianengo
Amministrazione,11,2.9,Pianengo
Altro,37,16.0,Pianengo
Industrie,32,12.7,Adrara San Rocco
Servizi,7,1.6,Adrara San Rocco
Amministrazione,5,1.0,Adrara San Rocco
Altro,3,0.8,Adrara San Rocco
Industrie,5,2.8,Fortunago
Servizi,7,1.5,Fortunago
Amministrazione,8,2.7,Fortunago
Altro,9,3.2,Fortunago
Industrie,259,0.3117,Olgiate Comasco
Servizi,228,80.1,Olgiate Comasco
Amministrazione,51,36.2,Olgiate Comasco
Altro,220,69.2,Olgiate Comasco
Industrie,94,32.1,Erchie
Servizi,218,31.2,Erchie
Amministrazione,45,35.3,Erchie
Altro,108,26.6,Erchie
Industrie,18,5.1,Sasso di Castalda
Servizi,11,2.3,Sasso di Castalda
Amministrazione,6,4.4,Sasso di Castalda
Altro,19,3.7,Sasso di Castalda
Industrie,24,31.0,Calceranica al Lago
Servizi,18,4.0,Calceranica al Lago
Amministrazione,18,2.9,Calceranica al Lago
Altro,46,16.9,Calceranica al Lago
Industrie,93,25.5,Villapiana
Servizi,173,31.1,Villapiana
Amministrazione,12,10.8,Villapiana
Altro,121,33.8,Villapiana
Industrie,21,10.4,Onore
Servizi,16,2.4,Onore
Amministrazione,11,6.7,Onore
Altro,24,6.8,Onore
Industrie,229,0.1623,Villongo
Servizi,128,36.5,Villongo
Amministrazione,31,18.4,Villongo
Altro,121,34.4,Villongo
Industrie,207,0.2113999999999999,Pedrengo
Servizi,144,49.1,Pedrengo
Amministrazione,15,6.3,Pedrengo
Altro,89,28.6,Pedrengo
Industrie,26,5.6,Cantoira
Servizi,10,2.1,Cantoira
Amministrazione,11,18.7,Cantoira
Altro,21,5.3,Cantoira
Industrie,15,5.6,Feroleto della Chiesa
Servizi,23,3.2,Feroleto della Chiesa
Amministrazione,8,8.3,Feroleto della Chiesa
Altro,22,2.6,Feroleto della Chiesa
Industrie,28,10.1,Spinete
Servizi,22,4.0,Spinete
Amministrazione,6,2.3,Spinete
Altro,49,14.7,Spinete
Industrie,6,3.0,Castelvisconti
Servizi,12,2.1,Castelvisconti
Amministrazione,2,0.4,Castelvisconti
Altro,8,2.3,Castelvisconti
Industrie,126,70.5,Villanuova sul Clisi
Servizi,89,25.1,Villanuova sul Clisi
Amministrazione,25,13.1,Villanuova sul Clisi
Altro,103,30.9,Villanuova sul Clisi
Industrie,30,7.8,Bocchigliero
Servizi,29,5.5,Bocchigliero
Amministrazione,19,10.9,Bocchigliero
Altro,31,9.5,Bocchigliero
Industrie,57,18.8,Zinasco
Servizi,45,7.1,Zinasco
Amministrazione,22,12.7,Zinasco
Altro,40,10.1,Zinasco
Industrie,12,6.8,Azzone
Servizi,4,0.8,Azzone
Amministrazione,3,0.9,Azzone
Altro,3,0.9,Azzone
Industrie,77,29.0,Villaricca
Servizi,367,65.7,Villaricca
Amministrazione,22,70.8,Villaricca
Altro,299,89.1,Villaricca
Industrie,2,0.3,Pontechianale
Servizi,19,3.3,Pontechianale
Amministrazione,5,2.3,Pontechianale
Altro,15,1.8,Pontechianale
Industrie,32,7.9,Podenzana
Servizi,22,3.5,Podenzana
Amministrazione,13,5.6,Podenzana
Altro,40,13.0,Podenzana
Industrie,46,40.9,Monguelfo-Tesido
Servizi,33,11.6,Monguelfo-Tesido
Amministrazione,41,11.9,Monguelfo-Tesido
Altro,104,24.0,Monguelfo-Tesido
Industrie,8,3.2,Taurasi
Servizi,49,5.9,Taurasi
Amministrazione,3,14.5,Taurasi
Altro,41,9.3,Taurasi
Industrie,9,2.5,Gignese
Servizi,35,5.2,Gignese
Amministrazione,12,4.2,Gignese
Altro,48,12.9,Gignese
Industrie,6,2.1,Madesimo
Servizi,69,13.1,Madesimo
Amministrazione,12,3.4,Madesimo
Altro,59,18.9,Madesimo
Industrie,30,26.0,Romano Canavese
Servizi,59,15.0,Romano Canavese
Amministrazione,21,6.7,Romano Canavese
Altro,84,18.5,Romano Canavese
Industrie,36,26.7,Bardolino
Servizi,284,57.4,Bardolino
Amministrazione,59,28.9,Bardolino
Altro,425,0.1475,Bardolino
Industrie,4,2.1,Torlino Vimercati
Servizi,7,1.6,Torlino Vimercati
Amministrazione,2,0.9,Torlino Vimercati
Altro,4,1.1,Torlino Vimercati
Industrie,116,57.5,Pradamano
Servizi,107,48.0,Pradamano
Amministrazione,29,9.1,Pradamano
Altro,76,30.1,Pradamano
Industrie,133,0.1387999999999999,Robecchetto con Induno
Servizi,65,12.2,Robecchetto con Induno
Amministrazione,19,10.4,Robecchetto con Induno
Altro,68,19.8,Robecchetto con Induno
Industrie,509,0.2891,Bareggio
Servizi,309,87.3,Bareggio
Amministrazione,55,39.0,Bareggio
Altro,350,0.1041,Bareggio
Industrie,17,15.9,Cava Manara
Servizi,86,24.1,Cava Manara
Amministrazione,17,11.7,Cava Manara
Altro,116,32.1,Cava Manara
Industrie,41,15.1,Mello
Servizi,7,0.9,Mello
Amministrazione,7,1.9,Mello
Altro,13,3.1,Mello
Industrie,343,0.2246999999999999,Spilamberto
Servizi,254,74.3,Spilamberto
Amministrazione,53,32.7,Spilamberto
Altro,226,85.1,Spilamberto
Industrie,59,25.6,Rocca San Giovanni
Servizi,69,19.3,Rocca San Giovanni
Amministrazione,17,13.3,Rocca San Giovanni
Altro,42,13.4,Rocca San Giovanni
Industrie,89,75.4,Besnate
Servizi,100,23.6,Besnate
Amministrazione,6,6.6,Besnate
Altro,166,51.6,Besnate
Industrie,68,38.5,Cengio
Servizi,76,14.1,Cengio
Amministrazione,17,6.7,Cengio
Altro,76,22.2,Cengio
Industrie,76,25.0,Celle Ligure
Servizi,131,25.9,Celle Ligure
Amministrazione,39,23.1,Celle Ligure
Altro,206,45.8,Celle Ligure
Industrie,97,89.1,Montecchia di Crosara
Servizi,67,15.9,Montecchia di Crosara
Amministrazione,14,9.5,Montecchia di Crosara
Altro,58,15.4,Montecchia di Crosara
Industrie,244,0.1098,Melissano
Servizi,193,34.2,Melissano
Amministrazione,47,24.1,Melissano
Altro,127,33.5,Melissano
Industrie,154,61.7,Caldiero
Servizi,133,34.9,Caldiero
Amministrazione,31,21.8,Caldiero
Altro,154,47.0,Caldiero
Industrie,10,13.1,Ospitale di Cadore
Servizi,5,1.5,Ospitale di Cadore
Amministrazione,4,0.5,Ospitale di Cadore
Altro,5,1.4,Ospitale di Cadore
Industrie,6,2.3,Colonna
Servizi,89,24.3,Colonna
Amministrazione,22,35.2,Colonna
Altro,65,10.8,Colonna
Industrie,35,72.7,Noventa di Piave
Servizi,136,53.8,Noventa di Piave
Amministrazione,15,40.4,Noventa di Piave
Altro,279,0.1076,Noventa di Piave
Industrie,4,5.4,Zerbo
Servizi,7,1.5,Zerbo
Amministrazione,7,3.4,Zerbo
Altro,11,3.1,Zerbo
Industrie,82,44.5,Villa Santina
Servizi,63,17.2,Villa Santina
Amministrazione,22,8.7,Villa Santina
Altro,71,23.0,Villa Santina
Industrie,94,63.8,Cavaso del Tomba
Servizi,39,8.2,Cavaso del Tomba
Amministrazione,21,4.5,Cavaso del Tomba
Altro,75,26.0,Cavaso del Tomba
Industrie,42,30.9,Santa Maria Imbaro
Servizi,37,9.6,Santa Maria Imbaro
Amministrazione,5,14.4,Santa Maria Imbaro
Altro,28,8.9,Santa Maria Imbaro
Industrie,2,0.6,Gorreto
Servizi,3,0.8,Gorreto
Amministrazione,5,0.3,Gorreto
Altro,9,2.3,Gorreto
Industrie,349,0.2173,Concesio
Servizi,279,74.3,Concesio
Amministrazione,54,53.9,Concesio
Altro,263,82.6,Concesio
Industrie,19,7.2,Cedrasco
Servizi,7,1.2,Cedrasco
Amministrazione,3,0.3,Cedrasco
Altro,8,8.6,Cedrasco
Industrie,3,4.2,Torre Beretti e Castellaro
Servizi,11,2.5,Torre Beretti e Castellaro
Amministrazione,5,1.6,Torre Beretti e Castellaro
Altro,18,4.6,Torre Beretti e Castellaro
Industrie,69,30.7,Saint-Christophe
Servizi,100,43.7,Saint-Christophe
Amministrazione,54,46.4,Saint-Christophe
Altro,154,46.0,Saint-Christophe
Industrie,126,0.1399,Rodano
Servizi,110,36.4,Rodano
Amministrazione,14,12.9,Rodano
Altro,170,66.0,Rodano
Industrie,155,39.7,Cavallino-Treporti
Servizi,425,0.1237,Cavallino-Treporti
Amministrazione,23,10.9,Cavallino-Treporti
Altro,233,56.6,Cavallino-Treporti
Industrie,8,4.2,San Bartolomeo al Mare
Servizi,111,24.1,San Bartolomeo al Mare
Amministrazione,18,12.3,San Bartolomeo al Mare
Altro,207,38.9,San Bartolomeo al Mare
Industrie,10,3.4,Calizzano
Servizi,54,9.4,Calizzano
Amministrazione,16,7.1,Calizzano
Altro,49,7.4,Calizzano
Industrie,15,3.7,Plodio
Servizi,3,0.7,Plodio
Amministrazione,5,1.8,Plodio
Altro,5,1.4,Plodio
Industrie,12,3.8,Vallebona
Servizi,14,3.2,Vallebona
Amministrazione,6,0.9,Vallebona
Altro,9,2.3,Vallebona
Industrie,16,6.5,Triora
Servizi,6,1.5,Triora
Amministrazione,15,2.7,Triora
Altro,16,4.3,Triora
Industrie,7,2.4,Civitella Alfedena
Servizi,10,1.9,Civitella Alfedena
Amministrazione,3,0.3,Civitella Alfedena
Altro,25,8.8,Civitella Alfedena
Industrie,86,47.0,Castelnovo Bariano
Servizi,59,16.1,Castelnovo Bariano
Amministrazione,14,8.2,Castelnovo Bariano
Altro,49,12.0,Castelnovo Bariano
Industrie,282,0.1391,Sant'Angelo di Piove di Sacco
Servizi,115,29.1,Sant'Angelo di Piove di Sacco
Amministrazione,26,15.9,Sant'Angelo di Piove di Sacco
Altro,121,33.2,Sant'Angelo di Piove di Sacco
Industrie,51,19.6,Lusciano
Servizi,189,27.6,Lusciano
Amministrazione,31,64.3,Lusciano
Altro,151,32.0,Lusciano
Industrie,27,9.9,Rocca Pietore
Servizi,25,4.8,Rocca Pietore
Amministrazione,8,2.2,Rocca Pietore
Altro,80,22.5,Rocca Pietore
Industrie,9,2.8,Rosignano Monferrato
Servizi,15,2.6,Rosignano Monferrato
Amministrazione,11,10.7,Rosignano Monferrato
Altro,41,7.7,Rosignano Monferrato
Industrie,40,16.5,Torchiara
Servizi,60,9.3,Torchiara
Amministrazione,7,9.2,Torchiara
Altro,31,9.4,Torchiara
Industrie,93,0.1153999999999999,Caselette
Servizi,51,9.2,Caselette
Amministrazione,15,4.2,Caselette
Altro,56,13.4,Caselette
Industrie,6,2.1,Fontecchio
Servizi,11,2.7,Fontecchio
Amministrazione,8,11.2,Fontecchio
Altro,7,2.0,Fontecchio
Industrie,55,16.1,Bari Sardo
Servizi,86,18.1,Bari Sardo
Amministrazione,21,13.5,Bari Sardo
Altro,95,23.4,Bari Sardo
Industrie,50,12.8,Tonara
Servizi,92,15.2,Tonara
Amministrazione,30,36.5,Tonara
Altro,59,15.4,Tonara
Industrie,335,0.1187,San Cataldo
Servizi,368,65.2,San Cataldo
Amministrazione,96,0.1624,San Cataldo
Altro,265,0.1028,San Cataldo
Industrie,95,29.7,Naso
Servizi,120,16.3,Naso
Amministrazione,29,18.9,Naso
Altro,71,20.6,Naso
Industrie,17,4.2,Buscemi
Servizi,23,3.5,Buscemi
Amministrazione,20,8.2,Buscemi
Altro,20,8.3,Buscemi
Industrie,89,26.8,Sorso
Servizi,203,36.1,Sorso
Amministrazione,18,19.5,Sorso
Altro,151,0.1212,Sorso
Industrie,200,68.7,Mascali
Servizi,194,43.5,Mascali
Amministrazione,63,48.8,Mascali
Altro,125,38.1,Mascali
Industrie,14,4.3,Banari
Servizi,7,1.5,Banari
Amministrazione,7,2.2,Banari
Altro,14,3.4,Banari
Industrie,13,5.2,Bortigali
Servizi,18,3.3,Bortigali
Amministrazione,13,4.9,Bortigali
Altro,28,7.1,Bortigali
Industrie,9,2.9,Camini
Servizi,11,3.3,Camini
Amministrazione,4,1.6,Camini
Altro,19,6.6,Camini
Industrie,575,0.3172,Cassino
Servizi,854,0.1754,Cassino
Amministrazione,130,0.382,Cassino
Altro,961,0.3593,Cassino
Industrie,39,8.8,Felitto
Servizi,43,6.1,Felitto
Amministrazione,5,4.6,Felitto
Altro,33,6.4,Felitto
Industrie,18,8.6,Staffolo
Servizi,46,8.6,Staffolo
Amministrazione,24,38.3,Staffolo
Altro,61,17.1,Staffolo
Industrie,848,0.4585,Verbania
Servizi,794,0.1975,Verbania
Amministrazione,212,0.5650000000000001,Verbania
Altro,973,0.4479,Verbania
Industrie,28,7.5,Arquata del Tronto
Servizi,31,4.6,Arquata del Tronto
Amministrazione,9,1.6,Arquata del Tronto
Altro,50,10.9,Arquata del Tronto
Industrie,184,0.1059,Ostra
Servizi,140,28.7,Ostra
Amministrazione,66,35.4,Ostra
Altro,162,48.0,Ostra
Industrie,126,64.5,Mola di Bari
Servizi,542,0.1152,Mola di Bari
Amministrazione,86,70.1,Mola di Bari
Altro,498,0.131,Mola di Bari
Industrie,44,11.5,Osilo
Servizi,42,6.5,Osilo
Amministrazione,23,8.7,Osilo
Altro,53,14.0,Osilo
Industrie,198,54.2,Grammichele
Servizi,227,38.8,Grammichele
Amministrazione,21,47.5,Grammichele
Altro,205,53.4,Grammichele
Industrie,5,11.2,Crova
Servizi,7,1.1,Crova
Amministrazione,2,0.3,Crova
Altro,17,5.9,Crova
Industrie,37,13.1,Montecchio
Servizi,45,6.6,Montecchio
Amministrazione,18,4.7,Montecchio
Altro,30,9.6,Montecchio
Industrie,9,2.8,Mezzana Rabattone
Servizi,10,2.1,Mezzana Rabattone
Amministrazione,4,0.5,Mezzana Rabattone
Altro,5,0.8,Mezzana Rabattone
Industrie,131,80.9,Tione di Trento
Servizi,106,31.0,Tione di Trento
Amministrazione,83,0.1099,Tione di Trento
Altro,181,84.0,Tione di Trento
Industrie,73,29.6,Verghereto
Servizi,53,8.9,Verghereto
Amministrazione,15,9.3,Verghereto
Altro,72,20.5,Verghereto
Industrie,10,3.0,Acquappesa
Servizi,37,5.3,Acquappesa
Amministrazione,10,3.1,Acquappesa
Altro,41,33.9,Acquappesa
Industrie,2,0.5,Carovilli
Servizi,33,5.5,Carovilli
Amministrazione,8,13.4,Carovilli
Altro,38,9.7,Carovilli
Industrie,223,63.1,Palmi
Servizi,455,70.2,Palmi
Amministrazione,92,0.1736,Palmi
Altro,342,0.1186,Palmi
Industrie,5,12.2,Tricerro
Servizi,11,3.1,Tricerro
Amministrazione,7,3.8,Tricerro
Altro,13,3.9,Tricerro
Industrie,59,14.7,Pisciotta
Servizi,91,15.5,Pisciotta
Amministrazione,15,13.4,Pisciotta
Altro,106,28.5,Pisciotta
Industrie,72,28.5,Carovigno
Servizi,333,53.5,Carovigno
Amministrazione,42,38.4,Carovigno
Altro,329,77.7,Carovigno
Industrie,841,0.6146,Castelfranco Veneto
Servizi,1004,0.3077,Castelfranco Veneto
Amministrazione,177,0.3382,Castelfranco Veneto
Altro,935,0.3669,Castelfranco Veneto
Industrie,24,7.3,Badalucco
Servizi,32,5.0,Badalucco
Amministrazione,9,7.4,Badalucco
Altro,32,7.2,Badalucco
Industrie,70,98.7,Matino
Servizi,112,21.2,Matino
Amministrazione,57,60.0,Matino
Altro,178,68.7,Matino
Industrie,5,3.9,Casalnoceto
Servizi,20,9.2,Casalnoceto
Amministrazione,13,18.6,Casalnoceto
Altro,28,8.6,Casalnoceto
Industrie,2,3.2,Gallinaro
Servizi,37,8.7,Gallinaro
Amministrazione,5,1.4,Gallinaro
Altro,23,4.2,Gallinaro
Industrie,320,0.2708,Arco
Servizi,314,0.1016999999999999,Arco
Amministrazione,147,0.1271,Arco
Altro,451,0.2721,Arco
Industrie,280,81.6,Alassio
Servizi,512,0.1008,Alassio
Amministrazione,79,52.4,Alassio
Altro,810,0.2806,Alassio
Industrie,53,22.9,Muccia
Servizi,52,11.3,Muccia
Amministrazione,22,9.3,Muccia
Altro,32,10.3,Muccia
Industrie,19,23.4,Casalbordino
Servizi,199,42.2,Casalbordino
Amministrazione,37,19.4,Casalbordino
Altro,211,55.9,Casalbordino
Industrie,72,16.4,Ayas
Servizi,57,10.0,Ayas
Amministrazione,28,5.6,Ayas
Altro,129,39.4,Ayas
Industrie,400,0.2604,San Biagio di Callalta
Servizi,284,90.6,San Biagio di Callalta
Amministrazione,45,29.0,San Biagio di Callalta
Altro,261,93.8,San Biagio di Callalta
Industrie,86,65.2,Pontida
Servizi,54,11.6,Pontida
Amministrazione,12,8.8,Pontida
Altro,76,21.5,Pontida
Industrie,24,78.6,Gallese
Servizi,57,9.1,Gallese
Amministrazione,23,6.0,Gallese
Altro,53,8.8,Gallese
Industrie,4,1.1,Paisco Loveno
Servizi,2,0.4,Paisco Loveno
Amministrazione,4,4.1,Paisco Loveno
Altro,5,1.5,Paisco Loveno
Industrie,1,0.3,Aieta
Servizi,19,4.0,Aieta
Amministrazione,4,2.2,Aieta
Altro,16,5.8,Aieta
Industrie,317,0.2443,Monticello Conte Otto
Servizi,183,38.4,Monticello Conte Otto
Amministrazione,32,28.0,Monticello Conte Otto
Altro,170,64.8,Monticello Conte Otto
Industrie,4,1.7,Urbe
Servizi,45,6.4,Urbe
Amministrazione,9,1.5,Urbe
Altro,46,11.1,Urbe
Industrie,445,0.2015,Martellago
Servizi,375,86.8,Martellago
Amministrazione,62,41.2,Martellago
Altro,304,98.8,Martellago
Industrie,22,6.7,Monastero Bormida
Servizi,25,6.5,Monastero Bormida
Amministrazione,11,2.9,Monastero Bormida
Altro,34,8.5,Monastero Bormida
Industrie,307,0.2793,San Giovanni in Marignano
Servizi,230,65.8,San Giovanni in Marignano
Amministrazione,23,18.9,San Giovanni in Marignano
Altro,210,70.7,San Giovanni in Marignano
Industrie,17,5.1,Tolve
Servizi,89,11.1,Tolve
Amministrazione,28,15.5,Tolve
Altro,52,10.8,Tolve
Industrie,149,48.5,Roana
Servizi,101,20.5,Roana
Amministrazione,36,14.0,Roana
Altro,193,58.3,Roana
Industrie,28,15.6,Tuscania
Servizi,257,45.3,Tuscania
Amministrazione,41,32.3,Tuscania
Altro,190,53.0,Tuscania
Industrie,123,76.4,Santa Maria Nuova
Servizi,87,17.3,Santa Maria Nuova
Amministrazione,33,7.5,Santa Maria Nuova
Altro,63,18.1,Santa Maria Nuova
Industrie,85,46.3,Pievepelago
Servizi,76,15.6,Pievepelago
Amministrazione,30,11.8,Pievepelago
Altro,108,39.4,Pievepelago
Industrie,71,88.9,Sant'Angelo dei Lombardi
Servizi,85,13.7,Sant'Angelo dei Lombardi
Amministrazione,36,39.1,Sant'Angelo dei Lombardi
Altro,72,42.1,Sant'Angelo dei Lombardi
Industrie,5,1.3,Bajardo
Servizi,4,1.0,Bajardo
Amministrazione,7,1.4,Bajardo
Altro,7,2.3,Bajardo
Industrie,16,4.3,Perinaldo
Servizi,14,3.2,Perinaldo
Amministrazione,9,1.6,Perinaldo
Altro,16,4.6,Perinaldo
Industrie,54,15.4,Dolceacqua
Servizi,57,10.8,Dolceacqua
Amministrazione,17,8.3,Dolceacqua
Altro,48,15.0,Dolceacqua
Industrie,21,12.9,Perca
Servizi,16,3.7,Perca
Amministrazione,18,2.9,Perca
Altro,40,9.8,Perca
Industrie,78,59.2,Prato allo Stelvio
Servizi,60,17.7,Prato allo Stelvio
Amministrazione,49,37.3,Prato allo Stelvio
Altro,118,33.4,Prato allo Stelvio
Industrie,63,80.9,San Martino in Passiria
Servizi,40,10.5,San Martino in Passiria
Amministrazione,43,13.1,San Martino in Passiria
Altro,110,31.9,San Martino in Passiria
Industrie,65,64.7,Garessio
Servizi,89,14.7,Garessio
Amministrazione,42,14.2,Garessio
Altro,107,29.3,Garessio
Industrie,62,18.8,Ultimo
Servizi,29,5.1,Ultimo
Amministrazione,91,18.9,Ultimo
Altro,111,25.6,Ultimo
Industrie,28,50.8,Maierato
Servizi,38,9.6,Maierato
Amministrazione,15,8.5,Maierato
Altro,42,6.7,Maierato
Industrie,8,2.0,Giaglione
Servizi,3,0.8,Giaglione
Amministrazione,7,1.1,Giaglione
Altro,8,9.9,Giaglione
Industrie,133,53.9,Monzuno
Servizi,110,22.0,Monzuno
Amministrazione,36,24.1,Monzuno
Altro,147,43.3,Monzuno
Industrie,4,1.0,Chiauci
Servizi,6,1.1,Chiauci
Amministrazione,6,2.2,Chiauci
Altro,3,0.8,Chiauci
Industrie,9,3.5,Sesta Godano
Servizi,46,8.8,Sesta Godano
Amministrazione,25,7.1,Sesta Godano
Altro,54,14.2,Sesta Godano
Industrie,1,0.3,Sarezzano
Servizi,24,4.1,Sarezzano
Amministrazione,11,22.7,Sarezzano
Altro,31,10.7,Sarezzano
Industrie,33,10.0,Campodipietra
Servizi,34,5.5,Campodipietra
Amministrazione,9,4.8,Campodipietra
Altro,33,7.0,Campodipietra
Industrie,148,47.6,Rizziconi
Servizi,132,23.9,Rizziconi
Amministrazione,37,29.2,Rizziconi
Altro,105,25.1,Rizziconi
Industrie,198,0.1966,Zogno
Servizi,188,45.9,Zogno
Amministrazione,77,71.4,Zogno
Altro,192,67.3,Zogno
Industrie,28,10.2,Lignano Sabbiadoro
Servizi,396,77.2,Lignano Sabbiadoro
Amministrazione,38,52.1,Lignano Sabbiadoro
Altro,759,0.1908,Lignano Sabbiadoro
Industrie,13,11.8,Mombaruzzo
Servizi,20,3.3,Mombaruzzo
Amministrazione,14,5.0,Mombaruzzo
Altro,28,4.9,Mombaruzzo
Industrie,51,23.6,Castagnole Piemonte
Servizi,31,5.6,Castagnole Piemonte
Amministrazione,17,4.6,Castagnole Piemonte
Altro,33,8.4,Castagnole Piemonte
Industrie,564,0.3964,Fossano
Servizi,668,0.2004,Fossano
Amministrazione,188,0.1780999999999999,Fossano
Altro,655,0.2367,Fossano
Industrie,11,3.3,Erula
Servizi,22,4.6,Erula
Amministrazione,8,2.4,Erula
Altro,12,3.5,Erula
Industrie,1,0.3,Pauli Arbarei
Servizi,10,2.6,Pauli Arbarei
Amministrazione,9,4.0,Pauli Arbarei
Altro,17,5.3,Pauli Arbarei
Industrie,79,18.2,Ficarazzi
Servizi,135,25.0,Ficarazzi
Amministrazione,18,24.2,Ficarazzi
Altro,95,25.1,Ficarazzi
Industrie,24,10.6,Mirto
Servizi,15,2.9,Mirto
Amministrazione,7,6.6,Mirto
Altro,21,5.0,Mirto
Industrie,4,1.3,Selegas
Servizi,21,4.5,Selegas
Amministrazione,12,5.5,Selegas
Altro,15,4.0,Selegas
Industrie,224,78.6,Monserrato
Servizi,365,64.4,Monserrato
Amministrazione,67,63.1,Monserrato
Altro,233,58.3,Monserrato
Industrie,91,24.3,Palagonia
Servizi,259,0.1266,Palagonia
Amministrazione,35,59.4,Palagonia
Altro,172,48.6,Palagonia
Industrie,194,0.2033999999999999,Olginate
Servizi,105,27.9,Olginate
Amministrazione,14,11.8,Olginate
Altro,145,47.1,Olginate
Industrie,57,29.3,Monte San Giovanni Campano
Servizi,223,28.8,Monte San Giovanni Campano
Amministrazione,36,60.1,Monte San Giovanni Campano
Altro,385,91.2,Monte San Giovanni Campano
Industrie,76,63.9,Triuggio
Servizi,124,26.4,Triuggio
Amministrazione,14,10.1,Triuggio
Altro,246,95.1,Triuggio
Industrie,4,3.8,Barzio
Servizi,68,11.5,Barzio
Amministrazione,15,13.1,Barzio
Altro,79,32.3,Barzio
Industrie,38,19.4,Esino Lario
Servizi,15,1.9,Esino Lario
Amministrazione,9,10.9,Esino Lario
Altro,27,6.6,Esino Lario
Industrie,15,7.5,Giardini-Naxos
Servizi,296,54.7,Giardini-Naxos
Amministrazione,44,32.2,Giardini-Naxos
Altro,302,96.4,Giardini-Naxos
Industrie,8,2.9,Ussaramanna
Servizi,13,3.5,Ussaramanna
Amministrazione,7,2.4,Ussaramanna
Altro,15,3.8,Ussaramanna
Industrie,38,75.1,Fombio
Servizi,28,7.4,Fombio
Amministrazione,16,2.9,Fombio
Altro,33,11.7,Fombio
Industrie,181,0.1377,Colico
Servizi,179,42.3,Colico
Amministrazione,33,25.8,Colico
Altro,205,83.5,Colico
Industrie,28,5.5,San Michele di Ganzaria
Servizi,90,12.5,San Michele di Ganzaria
Amministrazione,11,20.8,San Michele di Ganzaria
Altro,39,12.5,San Michele di Ganzaria
Industrie,5,1.9,Buseto Palizzolo
Servizi,82,13.4,Buseto Palizzolo
Amministrazione,34,23.6,Buseto Palizzolo
Altro,56,13.9,Buseto Palizzolo
Industrie,303,0.3023,Carini
Servizi,407,0.109,Carini
Amministrazione,57,65.1,Carini
Altro,249,84.4,Carini
Industrie,79,56.6,San Rocco al Porto
Servizi,49,53.6,San Rocco al Porto
Amministrazione,7,8.2,San Rocco al Porto
Altro,51,26.0,San Rocco al Porto
Industrie,80,48.5,Casalmaiocco
Servizi,51,19.0,Casalmaiocco
Amministrazione,4,4.0,Casalmaiocco
Altro,64,24.8,Casalmaiocco
Industrie,48,23.0,Casaletto Lodigiano
Servizi,17,4.1,Casaletto Lodigiano
Amministrazione,18,3.0,Casaletto Lodigiano
Altro,31,11.4,Casaletto Lodigiano
Industrie,253,91.7,Castrovillari
Servizi,579,0.1157,Castrovillari
Amministrazione,99,0.4636999999999999,Castrovillari
Altro,517,0.2104,Castrovillari
Industrie,12,5.0,Colosimi
Servizi,39,6.4,Colosimi
Amministrazione,7,4.7,Colosimi
Altro,27,10.1,Colosimi
Industrie,22,8.9,Serrapetrona
Servizi,26,6.6,Serrapetrona
Amministrazione,10,1.5,Serrapetrona
Altro,29,8.8,Serrapetrona
Industrie,71,10.7,Bolsena
Servizi,183,36.4,Bolsena
Amministrazione,34,6.3,Bolsena
Altro,121,17.6,Bolsena
Industrie,26,16.5,Vogogna
Servizi,38,6.8,Vogogna
Amministrazione,15,7.5,Vogogna
Altro,52,12.9,Vogogna
Industrie,17,6.0,Villamar
Servizi,64,12.5,Villamar
Amministrazione,26,18.6,Villamar
Altro,85,19.2,Villamar
Industrie,30,25.3,Arborea
Servizi,83,23.2,Arborea
Amministrazione,19,13.3,Arborea
Altro,65,27.4,Arborea
Industrie,124,56.4,Monticello Brianza
Servizi,76,21.3,Monticello Brianza
Amministrazione,25,42.0,Monticello Brianza
Altro,80,30.2,Monticello Brianza
Industrie,118,0.1217999999999999,Ornago
Servizi,74,18.0,Ornago
Amministrazione,15,13.2,Ornago
Altro,83,26.0,Ornago
Industrie,80,24.1,Coreno Ausonio
Servizi,28,3.6,Coreno Ausonio
Amministrazione,8,4.3,Coreno Ausonio
Altro,28,7.1,Coreno Ausonio
Industrie,53,54.4,Cellino Attanasio
Servizi,34,5.8,Cellino Attanasio
Amministrazione,14,11.5,Cellino Attanasio
Altro,27,6.5,Cellino Attanasio
Industrie,339,0.1858,Pieve a Nievole
Servizi,265,62.7,Pieve a Nievole
Amministrazione,76,23.6,Pieve a Nievole
Altro,193,63.6,Pieve a Nievole
