Settore,Numero_Aziende,Percentuale_Totale,Comune
Altro,1121,0.3754,Gorizia
Industrie,1278,0.4704,Grosseto
Servizi,1917,0.4972,Grosseto
Amministrazione,433,0.6123000000000001,Grosseto
Altro,2407,0.9186,Grosseto
Industrie,589,0.2237,Imperia
Servizi,1034,0.2722,Imperia
Amministrazione,329,0.5779,Imperia
Altro,1363,0.5215,Imperia
Industrie,453,0.1478,Isernia
Servizi,619,0.1415,Isernia
Amministrazione,149,0.3364,Isernia
Altro,726,0.2880999999999999,Isernia
Industrie,1045,0.5229,L'Aquila
Servizi,1292,0.3093,L'Aquila
Amministrazione,501,0.9492,L'Aquila
Altro,1908,0.7405999999999999,L'Aquila
Industrie,432,0.622,La Spezia
Servizi,2699,0.6602,La Spezia
Amministrazione,557,0.8515,La Spezia
Altro,3682,1.3451,La Spezia
Industrie,2072,1.2027,Latina
Servizi,3116,0.6954,Latina
Amministrazione,419,0.6393,Latina
Altro,3387,1.2409,Latina
Industrie,1125,0.5581,Lecce
Servizi,2381,0.6105,Lecce
Amministrazione,327,0.769,Lecce
Altro,3056,1.6614999999999998,Lecce
Industrie,1288,0.9305,Lecco
Servizi,1352,0.3307,Lecco
Amministrazione,445,0.6364,Lecco
Altro,1824,0.8587999999999999,Lecco
Industrie,1659,0.7853,Livorno
Servizi,3821,0.9622,Livorno
Amministrazione,393,0.7762,Livorno
Altro,4120,2.8025,Livorno
Industrie,498,0.2113999999999999,Lodi
Servizi,941,0.2745,Lodi
Amministrazione,277,0.4009,Lodi
Altro,1317,0.5238,Lodi
Industrie,1582,0.7982,Lucca
Servizi,2491,0.6163000000000001,Lucca
Amministrazione,271,0.7994,Lucca
Altro,2974,1.0424,Lucca
Industrie,775,0.3126,Macerata
Servizi,1569,0.3731,Macerata
Amministrazione,507,0.5993999999999999,Macerata
Altro,1540,0.5799000000000001,Macerata
Industrie,836,0.7763,Mantova
Servizi,1651,0.4506,Mantova
Amministrazione,557,0.7918999999999999,Mantova
Altro,2396,0.8491,Mantova
Industrie,1069,0.593,Matera
Servizi,1235,0.3303999999999999,Matera
Amministrazione,308,0.5619,Matera
Altro,1237,0.6269,Matera
Industrie,493,0.3171,Messina
Servizi,3954,0.8739000000000001,Messina
Amministrazione,657,1.6562,Messina
Altro,5211,1.4193,Messina
Industrie,8295,14.9725,Milano
Servizi,35795,13.8602,Milano
Amministrazione,4991,10.1114,Milano
Altro,69136,28.8832,Milano
Industrie,4679,3.715,Modena
Servizi,5088,1.6907,Modena
Amministrazione,1433,1.1666,Modena
Altro,7224,2.8667,Modena
Industrie,7275,3.8532,Napoli
Servizi,19655,4.0655,Napoli
Amministrazione,1138,6.9474,Napoli
Altro,22180,9.8374,Napoli
Industrie,1845,1.3893,Novara
Servizi,2345,0.6698000000000001,Novara
Amministrazione,616,0.7827,Novara
Altro,3450,1.2896,Novara
Industrie,741,0.2473,Nuoro
Servizi,1003,0.2375,Nuoro
Amministrazione,420,0.6075999999999999,Nuoro
Altro,1012,0.3566,Nuoro
Industrie,470,0.1582,Oristano
Servizi,1061,0.2632,Oristano
Amministrazione,315,0.4991,Oristano
Altro,1048,0.4037,Oristano
Industrie,2181,1.4737,Padova
Servizi,6340,1.9991,Padova
Amministrazione,1617,2.3201,Padova
Altro,10153,3.9632,Padova
Industrie,4957,2.0731,Palermo
Servizi,11971,2.7917,Palermo
Amministrazione,2003,6.08,Palermo
Altro,11930,4.367900000000001,Palermo
Industrie,1262,1.7759,Parma
Servizi,4041,1.6004,Parma
Amministrazione,418,1.2264,Parma
Altro,7107,2.5051,Parma
Industrie,906,0.4570999999999999,Pavia
Servizi,1761,0.4932,Pavia
Amministrazione,495,1.5168,Pavia
Altro,3014,1.1143,Pavia
Industrie,2000,0.9216,Perugia
Servizi,3099,0.9632,Perugia
Amministrazione,822,1.1605,Perugia
Altro,5163,1.7292999999999998,Perugia
Industrie,1591,0.5689,Pescara
Servizi,3341,0.7389,Pescara
Amministrazione,858,1.31,Pescara
Altro,4895,1.7631,Pescara
Industrie,2145,1.1666,Piacenza
Servizi,3139,0.8789999999999999,Piacenza
Amministrazione,676,1.2238,Piacenza
Altro,3979,1.473,Piacenza
Industrie,1252,0.7662,Pisa
Servizi,2473,0.4865,Pisa
Amministrazione,907,1.7014,Pisa
Altro,3732,1.2539,Pisa
Industrie,2056,0.8815,Pistoia
Servizi,2095,0.5434,Pistoia
Amministrazione,714,0.7259,Pistoia
Altro,2656,1.2625,Pistoia
Industrie,719,0.6033000000000001,Pordenone
Servizi,1409,0.4535999999999999,Pordenone
Amministrazione,401,0.5504,Pordenone
Altro,2218,0.759,Pordenone
Industrie,1106,0.444,Potenza
Servizi,1902,0.3332,Potenza
Amministrazione,532,0.8951,Potenza
Altro,2053,0.7386999999999999,Potenza
Industrie,8002,3.0593,Prato
Servizi,4810,1.0511,Prato
Amministrazione,1072,1.0321,Prato
Altro,5292,1.9295,Prato
Industrie,1384,0.6233,Ragusa
Servizi,1882,0.415,Ragusa
Amministrazione,417,0.8381000000000001,Ragusa
Altro,1407,0.4338,Ragusa
Industrie,826,1.4852,Ravenna
Servizi,2724,0.9877,Ravenna
Amministrazione,735,0.883,Ravenna
Altro,4798,1.986,Ravenna
Industrie,784,0.3908999999999999,Rieti
Servizi,1168,0.2703,Rieti
Amministrazione,250,0.5122,Rieti
Altro,1362,0.4977,Rieti
Industrie,2537,0.952,Rimini
Servizi,4846,1.3998,Rimini
Amministrazione,631,1.0473,Rimini
Altro,6569,3.0011,Rimini
Industrie,26414,14.5653,Roma
Servizi,62043,15.3773,Roma
Amministrazione,9010,25.9649,Roma
Altro,90395,40.9099,Roma
Industrie,659,0.5123,Rovigo
Servizi,1282,0.3621999999999999,Rovigo
Amministrazione,376,0.6328,Rovigo
Altro,1929,0.5527,Rovigo
Industrie,2168,0.5738000000000001,Salerno
Servizi,4872,0.967,Salerno
Amministrazione,813,1.2408,Salerno
Altro,5139,1.5751,Salerno
Industrie,2152,0.8003,Sassari
Servizi,3421,0.9271,Sassari
Amministrazione,552,0.9866,Sassari
Altro,3546,1.2444000000000002,Sassari
Industrie,1005,0.374,Savona
Servizi,1812,0.4748,Savona
Amministrazione,625,0.7799,Savona
Altro,2442,0.9116,Savona
Industrie,814,0.5198,Siena
Servizi,1504,0.391,Siena
Amministrazione,444,0.9696,Siena
Altro,2184,1.0878,Siena
Industrie,720,0.3685,Siracusa
Servizi,2305,0.5122,Siracusa
Amministrazione,532,0.9029,Siracusa
Altro,2379,0.8561,Siracusa
Industrie,505,0.2312,Sondrio
Servizi,748,0.1967,Sondrio
Amministrazione,301,0.3993,Sondrio
Altro,933,0.377,Sondrio
Industrie,1916,2.3695,Taranto
Servizi,4032,0.9452,Taranto
Amministrazione,772,1.5199,Taranto
Altro,3744,1.3163,Taranto
Industrie,611,0.3937,Teramo
Servizi,936,0.1749,Teramo
Amministrazione,307,0.5276,Teramo
Altro,1555,0.4906,Teramo
Industrie,1659,1.267,Terni
Servizi,2924,0.7548,Terni
Amministrazione,717,1.3885,Terni
Altro,2557,0.9687,Terni
Industrie,6290,7.6298,Torino
Servizi,25961,6.3299,Torino
Amministrazione,3676,7.2045,Torino
Altro,39438,13.1223,Torino
Industrie,213,0.1196,Trapani
Servizi,1606,0.3418,Trapani
Amministrazione,395,0.8107,Trapani
Altro,2016,0.5582,Trapani
Industrie,1644,1.093,Trento
Servizi,2469,0.938,Trento
Amministrazione,1270,1.9698,Trento
Altro,3804,1.5665,Trento
Industrie,1345,0.7567999999999999,Treviso
Servizi,2468,0.6529,Treviso
Amministrazione,590,0.6947,Treviso
Altro,4325,1.6234000000000002,Treviso
Industrie,2418,1.1758,Trieste
Servizi,5088,1.3662,Trieste
Amministrazione,1517,2.3724,Trieste
Altro,6088,2.7404,Trieste
Industrie,1506,0.5487,Udine
Servizi,2826,0.806,Udine
Amministrazione,1105,1.2388,Udine
Altro,4654,1.6210999999999998,Udine
Industrie,1712,1.0693,Varese
Servizi,2217,0.9471,Varese
Amministrazione,387,0.4755,Varese
Altro,3561,1.5166,Varese
Industrie,4461,3.0457,Venezia
Servizi,6544,2.3998,Venezia
Amministrazione,1966,2.8664,Venezia
Altro,8416,4.1497,Venezia
Industrie,812,0.4947,Vercelli
Servizi,1256,0.4487,Vercelli
Amministrazione,495,0.6766,Vercelli
Altro,1475,0.5558,Vercelli
Industrie,1178,1.8901,Verona
Servizi,5951,1.9953,Verona
Amministrazione,1198,2.0148,Verona
Altro,11884,4.2066,Verona
Industrie,578,0.2435,Vibo Valentia
Servizi,984,0.208,Vibo Valentia
Amministrazione,150,0.6,Vibo Valentia
Altro,1102,0.3473,Vibo Valentia
Industrie,1337,1.1476000000000002,Vicenza
Servizi,2970,0.9361,Vicenza
Amministrazione,584,1.098,Vicenza
Altro,5104,1.7742,Vicenza
Industrie,1024,0.3811,Viterbo
Servizi,1771,0.7267,Viterbo
Amministrazione,286,0.5339,Viterbo
Altro,2064,0.7007,Viterbo
Industrie,93,19.2,Bisacquino
Servizi,131,19.8,Bisacquino
Amministrazione,46,49.2,Bisacquino
Altro,59,17.6,Bisacquino
Industrie,228,0.1714,Elmas
Servizi,247,0.105,Elmas
Amministrazione,47,59.6,Elmas
Altro,169,0.1532,Elmas
Industrie,59,17.7,Benetutti
Servizi,52,7.9,Benetutti
Amministrazione,25,9.8,Benetutti
Altro,38,8.4,Benetutti
Industrie,10,2.5,Talana
Servizi,14,3.2,Talana
Amministrazione,6,5.1,Talana
Altro,8,2.5,Talana
Industrie,45,20.0,Campo Calabro
Servizi,73,14.3,Campo Calabro
Amministrazione,24,40.5,Campo Calabro
Altro,40,10.1,Campo Calabro
Industrie,36,10.3,Offagna
Servizi,34,6.6,Offagna
Amministrazione,21,3.8,Offagna
