date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2016-06-09,Uruguay,Venezuela,SouthAmerica,SouthAmerica,9,77,1149,456,0,1,CopaAmérica,Philadelphia,USA,True,No,Lose,82.0,71.0,81.0,84.0,77.0,74.5,77.0,71.8
2016-06-10,Argentina,Panama,SouthAmerica,NorthAmerica,1,56,1503,571,5,0,CopaAmérica,Chicago,USA,True,No,Win,79.0,nan,82.5,88.7,84.0,nan,66.7,nan
2016-06-10,Chile,Bolivia,SouthAmerica,SouthAmerica,5,82,1293,419,2,1,CopaAmérica,Foxborough,USA,True,No,Win,83.0,63.0,76.5,79.7,80.5,66.2,68.0,67.5
2016-06-10,France,Romania,Europe,Europe,17,22,924,878,2,1,UEFAEuro,Saint-Denis,France,False,No,Win,85.0,76.0,82.8,84.3,85.0,76.5,72.0,74.8
2016-06-11,Albania,Switzerland,Europe,Europe,42,15,666,947,0,1,UEFAEuro,Lens,France,True,No,Lose,73.0,82.0,70.8,69.7,72.0,80.0,78.0,79.0
2016-06-11,Colombia,CostaRica,SouthAmerica,NorthAmerica,3,23,1328,852,2,3,CopaAmérica,Houston,USA,True,No,Lose,78.0,79.0,76.8,83.0,80.5,74.8,71.7,73.2
2016-06-11,England,Russia,Europe,Europe,11,29,1069,828,1,1,UEFAEuro,Marseille,France,True,No,Draw,84.0,81.0,83.0,81.0,83.2,78.8,76.0,79.8
2016-06-11,PapuaNewGuinea,NewZealand,Oceania,Oceania,193,147,51,220,0,0,OceaniaNationsCup,PortMoresby,PapuaNewGuinea,False,Yes,Lose,nan,66.0,nan,nan,nan,71.2,66.7,67.5
2016-06-11,Seychelles,Madagascar,Africa,Africa,180,108,93,316,0,1,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-11,USA,Paraguay,NorthAmerica,SouthAmerica,31,44,802,637,1,0,CopaAmérica,Philadelphia,USA,False,No,Win,80.0,75.0,76.2,75.7,76.8,74.5,76.7,74.8
2016-06-11,Wales,Slovakia,Europe,Europe,26,24,846,851,2,1,UEFAEuro,Bordeaux,France,True,No,Win,73.0,72.0,76.5,75.0,76.2,77.0,69.3,76.0
2016-06-11,Zimbabwe,Eswatini,Africa,Africa,115,117,302,301,2,2,COSAFACup,Windhoek,Namibia,True,No,Draw,nan,nan,nan,69.0,68.5,nan,nan,nan
2016-06-12,Benin,EquatorialGuinea,Africa,Africa,75,76,473,465,2,1,AfricanCupofNationsqualification,Cotonou,Benin,False,No,Win,66.0,63.0,68.5,67.3,68.8,nan,nan,nan
2016-06-12,Brazil,Peru,SouthAmerica,SouthAmerica,7,48,1256,622,0,1,CopaAmérica,Foxborough,USA,True,No,Lose,83.0,73.0,85.2,84.7,83.2,73.5,72.3,73.0
2016-06-12,Ecuador,Haiti,SouthAmerica,NorthAmerica,13,74,978,477,4,0,CopaAmérica,EastRutherford,USA,True,No,Win,72.0,75.0,69.2,76.0,76.5,nan,nan,66.5
2016-06-12,Germany,Ukraine,Europe,Europe,4,19,1310,894,2,0,UEFAEuro,"Villeneuve-dAscq",France,True,No,Win,90.0,79.0,84.8,81.7,86.8,76.5,72.3,74.8
2016-06-12,Lesotho,Mauritius,Africa,Africa,155,142,184,238,3,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-12,Malawi,Angola,Africa,Africa,107,123,319,292,3,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,nan,nan,nan,nan,61.0,70.3,nan
2016-06-12,Poland,NorthernIreland,Europe,Europe,27,25,842,851,1,0,UEFAEuro,Nice,France,True,No,Win,79.0,68.0,78.2,79.0,79.0,74.2,67.7,72.2
2016-06-12,Turkey,Croatia,Europe,Europe,18,27,918,842,0,1,UEFAEuro,Paris,France,True,No,Lose,80.0,81.0,78.2,77.3,81.0,78.8,78.3,81.5
2016-06-13,Belgium,Italy,Europe,Europe,2,12,1383,982,0,2,UEFAEuro,Lyon,France,True,No,Lose,86.0,84.0,82.0,81.3,84.8,83.8,81.7,83.8
2016-06-13,RepublicofIreland,Sweden,Europe,Europe,33,35,768,735,1,1,UEFAEuro,Saint-Denis,France,True,No,Draw,75.0,73.0,76.8,76.0,77.0,77.0,80.7,76.8
2016-06-13,Madagascar,Zimbabwe,Africa,Africa,108,115,316,302,0,0,COSAFACup,Windhoek,Namibia,True,No,Draw,nan,nan,nan,nan,nan,nan,69.0,68.5
2016-06-13,Mexico,Venezuela,NorthAmerica,SouthAmerica,16,77,941,456,1,1,CopaAmérica,Houston,USA,True,No,Draw,80.0,71.0,76.0,79.3,78.5,74.5,77.0,71.8
2016-06-13,Spain,CzechRepublic,Europe,Europe,6,30,1266,815,1,0,UEFAEuro,Toulouse,France,True,No,Win,86.0,85.0,84.5,83.3,87.2,75.5,73.7,76.2
2016-06-13,Eswatini,Seychelles,Africa,Africa,117,180,301,93,4,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-13,Uruguay,Jamaica,SouthAmerica,NorthAmerica,9,46,1149,630,3,0,CopaAmérica,SantaClara,USA,True,No,Win,82.0,67.0,81.0,84.0,77.0,71.5,69.7,69.5
2016-06-14,Angola,Lesotho,Africa,Africa,123,155,292,184,0,2,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,61.0,70.3,nan,nan,nan,nan
2016-06-14,Argentina,Bolivia,SouthAmerica,SouthAmerica,1,82,1503,419,3,0,CopaAmérica,Seattle,USA,True,No,Win,79.0,63.0,82.5,88.7,84.0,66.2,68.0,67.5
2016-06-14,Austria,Hungary,Europe,Europe,10,20,1077,885,0,2,UEFAEuro,Bordeaux,France,True,No,Lose,72.0,73.0,80.2,72.3,77.5,68.5,72.3,75.2
2016-06-14,Chile,Panama,SouthAmerica,NorthAmerica,5,56,1293,571,4,2,CopaAmérica,Philadelphia,USA,True,No,Win,83.0,nan,76.5,79.7,80.5,nan,66.7,nan
2016-06-14,Mauritius,Malawi,Africa,Africa,142,107,238,319,0,1,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-14,Portugal,Iceland,Europe,Europe,8,34,1181,751,1,1,UEFAEuro,Saint-Étienne,France,True,No,Draw,81.0,65.0,81.2,84.7,81.8,70.0,73.0,74.2
2016-06-15,France,Albania,Europe,Europe,17,42,924,666,2,0,UEFAEuro,Marseille,France,False,No,Win,85.0,73.0,82.8,84.3,85.0,70.8,69.7,72.0
2016-06-15,Romania,Switzerland,Europe,Europe,22,15,878,947,1,1,UEFAEuro,Paris,France,True,No,Draw,76.0,82.0,76.5,72.0,74.8,80.0,78.0,79.0
2016-06-15,Russia,Slovakia,Europe,Europe,29,24,828,851,1,2,UEFAEuro,"Villeneuve-dAscq",France,True,No,Lose,81.0,72.0,78.8,76.0,79.8,77.0,69.3,76.0
2016-06-15,Eswatini,Madagascar,Africa,Africa,117,108,301,316,1,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-15,Zimbabwe,Seychelles,Africa,Africa,115,180,302,93,5,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,nan,nan,69.0,68.5,nan,nan,nan
2016-06-16,Angola,Mauritius,Africa,Africa,123,142,292,238,0,2,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,61.0,70.3,nan,nan,nan,nan
2016-06-16,England,Wales,Europe,Europe,11,26,1069,846,2,1,UEFAEuro,Lens,France,True,No,Win,84.0,73.0,83.0,81.0,83.2,76.5,75.0,76.2
2016-06-16,Germany,Poland,Europe,Europe,4,27,1310,842,0,0,UEFAEuro,Saint-Denis,France,True,No,Draw,90.0,79.0,84.8,81.7,86.8,78.2,79.0,79.0
2016-06-16,Malawi,Lesotho,Africa,Africa,107,155,319,184,0,1,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-16,Ukraine,NorthernIreland,Europe,Europe,19,25,894,851,0,2,UEFAEuro,Lyon,France,True,No,Lose,79.0,68.0,76.5,72.3,74.8,74.2,67.7,72.2
2016-06-16,USA,Ecuador,NorthAmerica,SouthAmerica,31,13,802,978,2,1,CopaAmérica,Seattle,USA,False,No,Win,80.0,72.0,76.2,75.7,76.8,69.2,76.0,76.5
2016-06-17,CzechRepublic,Croatia,Europe,Europe,30,27,815,842,2,2,UEFAEuro,Saint-Étienne,France,True,No,Draw,85.0,81.0,75.5,73.7,76.2,78.8,78.3,81.5
2016-06-17,Italy,Sweden,Europe,Europe,12,35,982,735,1,0,UEFAEuro,Toulouse,France,True,No,Win,84.0,73.0,83.8,81.7,83.8,77.0,80.7,76.8
2016-06-17,Peru,Colombia,SouthAmerica,SouthAmerica,48,3,622,1328,0,0,CopaAmérica,EastRutherford,USA,True,Yes,Lose,73.0,78.0,73.5,72.3,73.0,76.8,83.0,80.5
2016-06-17,Spain,Turkey,Europe,Europe,6,18,1266,918,3,0,UEFAEuro,Nice,France,True,No,Win,86.0,80.0,84.5,83.3,87.2,78.2,77.3,81.0
2016-06-18,Argentina,Venezuela,SouthAmerica,SouthAmerica,1,77,1503,456,4,1,CopaAmérica,Foxborough,USA,True,No,Win,79.0,71.0,82.5,88.7,84.0,74.5,77.0,71.8
2016-06-18,Belgium,RepublicofIreland,Europe,Europe,2,33,1383,768,3,0,UEFAEuro,Bordeaux,France,True,No,Win,86.0,75.0,82.0,81.3,84.8,76.8,76.0,77.0
2016-06-18,Iceland,Hungary,Europe,Europe,34,20,751,885,1,1,UEFAEuro,Marseille,France,True,No,Draw,65.0,73.0,70.0,73.0,74.2,68.5,72.3,75.2
2016-06-18,Mexico,Chile,NorthAmerica,SouthAmerica,16,5,941,1293,0,7,CopaAmérica,SantaClara,USA,True,No,Lose,80.0,83.0,76.0,79.3,78.5,76.5,79.7,80.5
2016-06-18,Namibia,Botswana,Africa,Africa,135,87,263,390,1,1,COSAFACup,Windhoek,Namibia,False,Yes,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-18,Portugal,Austria,Europe,Europe,8,10,1181,1077,0,0,UEFAEuro,Lyon,France,True,No,Draw,81.0,72.0,81.2,84.7,81.8,80.2,72.3,77.5
