date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
1993-08-08,Bolivia,Uruguay,SouthAmerica,SouthAmerica,59,22,0,0,3,1,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Brazil,Mexico,SouthAmerica,NorthAmerica,8,14,0,0,1,1,Friendly,Maceió,Brazil,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Ecuador,Venezuela,SouthAmerica,SouthAmerica,35,94,0,0,5,0,FIFAWorldCupqualification,Quito,Ecuador,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Guinea,SierraLeone,Africa,Africa,65,86,0,0,1,0,Friendly,Conakry,Guinea,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Paraguay,Argentina,SouthAmerica,SouthAmerica,67,5,0,0,1,3,FIFAWorldCupqualification,Asunción,Paraguay,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Peru,Colombia,SouthAmerica,SouthAmerica,70,19,0,0,0,1,FIFAWorldCupqualification,Lima,Peru,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Zimbabwe,Eswatini,Africa,Africa,50,102,0,0,2,0,Friendly,Harare,Zimbabwe,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-09,Guinea,SierraLeone,Africa,Africa,65,86,0,0,4,0,Friendly,Conakry,Guinea,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-11,FaroeIslands,Norway,Europe,Europe,111,9,0,0,0,7,Friendly,Toftir,FaroeIslands,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-11,Sweden,Switzerland,Europe,Europe,4,3,0,0,1,2,Friendly,Borås,Sweden,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Australia,Canada,Oceania,NorthAmerica,52,46,0,0,2,1,FIFAWorldCupqualification,Sydney,Australia,False,Yes,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Bolivia,Ecuador,SouthAmerica,SouthAmerica,59,35,0,0,1,0,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Colombia,Argentina,SouthAmerica,SouthAmerica,19,5,0,0,2,1,FIFAWorldCupqualification,Barranquilla,Colombia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Congo,Guinea,Africa,Africa,107,65,0,0,0,0,AfricanCupofNationsqualification,Pointe-Noire,Congo,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Uruguay,Brazil,SouthAmerica,SouthAmerica,22,8,0,0,1,1,FIFAWorldCupqualification,Montevideo,Uruguay,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Argentina,Peru,SouthAmerica,SouthAmerica,5,70,0,0,2,1,FIFAWorldCupqualification,BuenosAires,Argentina,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Bolivia,Venezuela,SouthAmerica,SouthAmerica,59,94,0,0,7,0,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Brazil,Ecuador,SouthAmerica,SouthAmerica,8,35,0,0,2,0,FIFAWorldCupqualification,SãoPaulo,Brazil,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Paraguay,Colombia,SouthAmerica,SouthAmerica,67,19,0,0,1,1,FIFAWorldCupqualification,Asunción,Paraguay,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Sweden,France,Europe,Europe,4,12,0,0,1,1,FIFAWorldCupqualification,Solna,Sweden,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-25,Austria,Finland,Europe,Europe,38,47,0,0,3,0,FIFAWorldCupqualification,Vienna,Austria,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-25,Denmark,Lithuania,Europe,Europe,10,84,0,0,4,0,FIFAWorldCupqualification,Copenhagen,Denmark,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-29,Argentina,Paraguay,SouthAmerica,SouthAmerica,5,67,0,0,0,0,FIFAWorldCupqualification,BuenosAires,Argentina,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-29,Brazil,Bolivia,SouthAmerica,SouthAmerica,8,59,0,0,6,0,FIFAWorldCupqualification,Recife,Brazil,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-29,Colombia,Peru,SouthAmerica,SouthAmerica,19,70,0,0,4,0,FIFAWorldCupqualification,Barranquilla,Colombia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-29,Uruguay,Venezuela,SouthAmerica,SouthAmerica,22,94,0,0,4,0,FIFAWorldCupqualification,Montevideo,Uruguay,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-31,Iceland,USA,Europe,NorthAmerica,53,28,0,0,0,1,Friendly,Reykjavík,Iceland,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-05,Argentina,Colombia,SouthAmerica,SouthAmerica,5,19,0,0,0,5,FIFAWorldCupqualification,BuenosAires,Argentina,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-05,Brazil,Venezuela,SouthAmerica,SouthAmerica,8,94,0,0,4,0,FIFAWorldCupqualification,BeloHorizonte,Brazil,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-05,Ecuador,Uruguay,SouthAmerica,SouthAmerica,35,22,0,0,0,1,FIFAWorldCupqualification,Guayaquil,Ecuador,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-05,Estonia,Portugal,Europe,Europe,118,23,0,0,0,2,FIFAWorldCupqualification,Tallinn,Estonia,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-05,Peru,Paraguay,SouthAmerica,SouthAmerica,70,67,0,0,2,2,FIFAWorldCupqualification,Lima,Peru,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-06,Eswatini,Zimbabwe,Africa,Africa,102,50,0,0,0,1,Friendly,Mbabane,Eswatini,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Albania,Denmark,Europe,Europe,92,10,0,0,0,1,FIFAWorldCupqualification,Tirana,Albania,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Bulgaria,Sweden,Europe,Europe,37,4,0,0,1,1,FIFAWorldCupqualification,Sofia,Bulgaria,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,England,Poland,Europe,Europe,11,20,0,0,3,0,FIFAWorldCupqualification,London,England,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,FaroeIslands,Romania,Europe,Europe,111,21,0,0,0,4,FIFAWorldCupqualification,Toftir,FaroeIslands,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Finland,France,Europe,Europe,47,12,0,0,0,2,FIFAWorldCupqualification,Tampere,Finland,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Hungary,Russia,Europe,Europe,42,7,0,0,1,3,FIFAWorldCupqualification,Budapest,Hungary,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Iceland,Luxembourg,Europe,Europe,53,110,0,0,1,0,FIFAWorldCupqualification,Reykjavík,Iceland,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,RepublicofIreland,Lithuania,Europe,Europe,6,84,0,0,2,0,FIFAWorldCupqualification,Dublin,RepublicofIreland,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,NorthernIreland,Latvia,Europe,Europe,40,89,0,0,2,0,FIFAWorldCupqualification,Belfast,NorthernIreland,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Norway,USA,Europe,NorthAmerica,9,28,0,0,1,0,Friendly,Oslo,Norway,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Scotland,Switzerland,Europe,Europe,30,3,0,0,1,1,FIFAWorldCupqualification,Aberdeen,Scotland,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-08,Spain,Chile,Europe,SouthAmerica,13,49,0,0,2,0,Friendly,Alicante,Spain,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-12,Uruguay,Bolivia,SouthAmerica,SouthAmerica,22,59,0,0,2,1,FIFAWorldCupqualification,Montevideo,Uruguay,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-12,Venezuela,Ecuador,SouthAmerica,SouthAmerica,94,35,0,0,2,1,FIFAWorldCupqualification,PuertoOrdaz,Venezuela,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-15,Morocco,Mali,Africa,Africa,33,74,0,0,3,0,Friendly,Casablanca,Morocco,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-17,SaudiArabia,Thailand,Asia,Asia,44,66,0,0,4,0,Friendly,Dammam,SaudiArabia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-19,Brazil,Uruguay,SouthAmerica,SouthAmerica,8,22,0,0,2,0,FIFAWorldCupqualification,RiodeJaneiro,Brazil,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-19,Ecuador,Bolivia,SouthAmerica,SouthAmerica,35,59,0,0,1,1,FIFAWorldCupqualification,Guayaquil,Ecuador,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-19,Zimbabwe,Senegal,Africa,Africa,50,58,0,0,2,0,Friendly,Harare,Zimbabwe,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-20,SaudiArabia,Thailand,Asia,Asia,44,66,0,0,3,0,Friendly,Dammam,SaudiArabia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Albania,Spain,Europe,Europe,92,13,0,0,1,5,FIFAWorldCupqualification,Tirana,Albania,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Estonia,Italy,Europe,Europe,118,2,0,0,0,3,FIFAWorldCupqualification,Tallinn,Estonia,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Mexico,Cameroon,NorthAmerica,Africa,14,24,0,0,1,0,Friendly,LosAngeles,USA,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Norway,Poland,Europe,Europe,9,20,0,0,1,0,FIFAWorldCupqualification,Oslo,Norway,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Romania,Israel,Europe,Europe,21,69,0,0,1,0,Friendly,Bucharest,Romania,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,SanMarino,Netherlands,Europe,Europe,119,16,0,0,0,7,FIFAWorldCupqualification,Bologna,Italy,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-22,Tunisia,Germany,Africa,Europe,31,1,0,0,1,1,Friendly,Tunis,Tunisia,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-23,SaudiArabia,CostaRica,Asia,NorthAmerica,44,38,0,0,1,2,Friendly,Khobar,SaudiArabia,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-24,KoreaRepublic,Australia,Asia,Oceania,36,65,0,0,1,1,Friendly,Seoul,KoreaRepublic,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-25,Nigeria,"CôtedIvoire",Africa,Africa,18,31,0,0,4,1,FIFAWorldCupqualification,Lagos,Nigeria,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-26,KoreaRepublic,Australia,Asia,Oceania,36,65,0,0,1,0,Friendly,Seoul,KoreaRepublic,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-26,Zambia,Senegal,Africa,Africa,27,57,0,0,4,0,FIFAWorldCupqualification,Lusaka,Zambia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-26,Zimbabwe,Guinea,Africa,Africa,47,60,0,0,1,0,FIFAWorldCupqualification,Harare,Zimbabwe,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-27,SaudiArabia,CostaRica,Asia,NorthAmerica,44,38,0,0,3,2,Friendly,Khobar,SaudiArabia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-09-29,Mexico,Poland,NorthAmerica,Europe,16,22,0,0,0,0,Friendly,Oakland,USA,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-01,Morocco,Gabon,Africa,Africa,32,51,0,0,1,0,Friendly,Rabat,Morocco,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-04,Japan,"CôtedIvoire",Asia,Africa,43,31,0,0,1,0,Friendly,Tokyo,Japan,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-05,Cyprus,Israel,Europe,Europe,74,71,0,0,2,2,Friendly,Limassol,Cyprus,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-06,Belgium,Gabon,Europe,Africa,24,51,0,0,2,1,Friendly,Brussels,Belgium,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-06,Mexico,SouthAfrica,NorthAmerica,Africa,16,95,0,0,4,0,Friendly,LosAngeles,USA,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-06,SaudiArabia,Russia,Asia,Europe,44,8,0,0,4,2,Friendly,Khobar,SaudiArabia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-08,Algeria,Nigeria,Africa,Africa,30,18,0,0,1,1,FIFAWorldCupqualification,Algiers,Algeria,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-10,Cameroon,Zimbabwe,Africa,Africa,23,47,0,0,3,1,FIFAWorldCupqualification,Yaoundé,Cameroon,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-10,Morocco,Zambia,Africa,Africa,32,27,0,0,1,0,FIFAWorldCupqualification,Casablanca,Morocco,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-12,Luxembourg,Greece,Europe,Europe,110,35,0,0,1,3,FIFAWorldCupqualification,Luxembourg,Luxembourg,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Bulgaria,Austria,Europe,Europe,37,33,0,0,4,1,FIFAWorldCupqualification,Sofia,Bulgaria,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Denmark,NorthernIreland,Europe,Europe,4,40,0,0,1,0,FIFAWorldCupqualification,Copenhagen,Denmark,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,France,Israel,Europe,Europe,7,71,0,0,2,3,FIFAWorldCupqualification,Paris,France,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Germany,Uruguay,Europe,SouthAmerica,5,15,0,0,5,0,Friendly,Karlsruhe,Germany,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,RepublicofIreland,Spain,Europe,Europe,9,14,0,0,1,3,FIFAWorldCupqualification,Dublin,RepublicofIreland,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Italy,Scotland,Europe,Europe,2,28,0,0,3,1,FIFAWorldCupqualification,Rome,Italy,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Netherlands,England,Europe,Europe,13,5,0,0,2,0,FIFAWorldCupqualification,Rotterdam,Netherlands,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Poland,Norway,Europe,Europe,22,3,0,0,0,3,FIFAWorldCupqualification,Poznań,Poland,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Portugal,Switzerland,Europe,Europe,21,10,0,0,1,0,FIFAWorldCupqualification,Porto,Portugal,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Romania,Belgium,Europe,Europe,20,24,0,0,2,1,FIFAWorldCupqualification,Bucharest,Romania,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Sweden,Finland,Europe,Europe,11,50,0,0,3,2,FIFAWorldCupqualification,Solna,Sweden,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,USA,Mexico,NorthAmerica,NorthAmerica,26,16,0,0,1,1,Friendly,Washington,USA,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-13,Wales,Cyprus,Europe,Europe,29,74,0,0,2,0,FIFAWorldCupqualification,Cardiff,Wales,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-15,KoreaDPR,Iraq,Asia,Asia,64,59,0,0,3,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-15,SaudiArabia,Japan,Asia,Asia,44,43,0,0,0,0,FIFAWorldCupqualification,Doha,Qatar,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-16,IRIran,KoreaRepublic,Asia,Asia,58,36,0,0,0,3,FIFAWorldCupqualification,Doha,Qatar,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-16,USA,Ukraine,NorthAmerica,Europe,26,132,0,0,1,2,Friendly,HighPoint,USA,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-17,Tunisia,Iceland,Africa,Europe,34,49,0,0,3,1,Friendly,Tunis,Tunisia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-18,Japan,IRIran,Asia,Asia,43,58,0,0,1,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-18,KoreaDPR,SaudiArabia,Asia,Asia,64,44,0,0,1,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-19,Iraq,KoreaRepublic,Asia,Asia,59,36,0,0,2,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-20,Mexico,Ukraine,NorthAmerica,Europe,16,132,0,0,2,1,Friendly,SanDiego,USA,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-21,KoreaDPR,Japan,Asia,Asia,64,43,0,0,0,3,FIFAWorldCupqualification,Doha,Qatar,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-22,IRIran,Iraq,Asia,Asia,59,64,0,0,1,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-22,KoreaRepublic,SaudiArabia,Asia,Asia,37,46,0,0,1,1,FIFAWorldCupqualification,Doha,Qatar,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-23,USA,Ukraine,NorthAmerica,Europe,26,120,0,0,0,1,Friendly,Bethlehem,USA,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-24,Burundi,Guinea,Africa,Africa,98,63,0,0,0,0,AfricanCupofNationsqualification,Libreville,Gabon,True,Yes,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-24,Iraq,SaudiArabia,Asia,Asia,64,46,0,0,1,1,FIFAWorldCupqualification,Doha,Qatar,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-25,IRIran,KoreaDPR,Asia,Asia,59,58,0,0,2,1,FIFAWorldCupqualification,Doha,Qatar,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-25,Japan,KoreaRepublic,Asia,Asia,44,37,0,0,1,0,FIFAWorldCupqualification,Doha,Qatar,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-26,Liechtenstein,Estonia,Europe,Europe,157,119,0,0,0,2,Friendly,Balzers,Liechtenstein,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-26,UnitedArabEmirates,Jordan,Asia,Asia,55,89,0,0,2,1,Friendly,AlAin,UnitedArabEmirates,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-27,Hungary,Luxembourg,Europe,Europe,49,106,0,0,1,0,FIFAWorldCupqualification,Budapest,Hungary,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-27,Israel,Austria,Europe,Europe,66,34,0,0,1,1,FIFAWorldCupqualification,Ramat-Gan,Israel,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-27,Turkey,Poland,Europe,Europe,67,23,0,0,2,1,FIFAWorldCupqualification,Istanbul,Turkey,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-28,Iraq,Japan,Asia,Asia,64,44,0,0,2,2,FIFAWorldCupqualification,Doha,Qatar,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-28,KoreaRepublic,KoreaDPR,Asia,Asia,37,58,0,0,3,0,FIFAWorldCupqualification,Doha,Qatar,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-28,SaudiArabia,IRIran,Asia,Asia,46,59,0,0,4,3,FIFAWorldCupqualification,Doha,Qatar,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-28,UnitedArabEmirates,Jordan,Asia,Asia,55,89,0,0,0,2,Friendly,AlAin,UnitedArabEmirates,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-10-31,Australia,Argentina,Oceania,SouthAmerica,61,9,0,0,1,1,FIFAWorldCupqualification,Sydney,Australia,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-03,Mexico,ChinaPR,NorthAmerica,Asia,18,48,0,0,3,0,Friendly,SanDiego,USA,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-05,Egypt,Malta,Africa,Europe,27,84,0,0,3,0,Friendly,Tunis,Tunisia,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-05,Tunisia,Gabon,Africa,Africa,35,54,0,0,4,0,Friendly,Tunis,Tunisia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-07,Gabon,Malta,Africa,Europe,54,84,0,0,1,2,Friendly,Tunis,Tunisia,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-07,Tunisia,Egypt,Africa,Africa,35,27,0,0,2,1,Friendly,Tunis,Tunisia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-07,USA,Jamaica,NorthAmerica,NorthAmerica,26,76,0,0,1,0,Friendly,Fullerton,USA,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-10,Austria,Sweden,Europe,Europe,34,8,0,0,1,1,FIFAWorldCupqualification,Vienna,Austria,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-10,Israel,Finland,Europe,Europe,66,45,0,0,1,3,FIFAWorldCupqualification,Ramat-Gan,Israel,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-10,Portugal,Estonia,Europe,Europe,20,119,0,0,3,0,FIFAWorldCupqualification,Lisbon,Portugal,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-10,Turkey,Norway,Europe,Europe,67,2,0,0,2,1,FIFAWorldCupqualification,Istanbul,Turkey,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-14,USA,CaymanIslands,NorthAmerica,NorthAmerica,26,156,0,0,8,1,Friendly,MissionViejo,USA,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Argentina,Australia,SouthAmerica,Oceania,9,61,0,0,1,0,FIFAWorldCupqualification,BuenosAires,Argentina,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,France,Bulgaria,Europe,Europe,14,32,0,0,1,2,FIFAWorldCupqualification,Paris,France,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Germany,Brazil,Europe,SouthAmerica,4,1,0,0,2,1,Friendly,Cologne,Germany,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Greece,Russia,Europe,Europe,36,11,0,0,1,0,FIFAWorldCupqualification,Athens,Greece,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Italy,Portugal,Europe,Europe,3,20,0,0,1,0,FIFAWorldCupqualification,Milan,Italy,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Malta,Scotland,Europe,Europe,84,29,0,0,0,2,FIFAWorldCupqualification,Attard,Malta,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,NorthernIreland,RepublicofIreland,Europe,Europe,42,11,0,0,1,1,FIFAWorldCupqualification,Belfast,NorthernIreland,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Poland,Netherlands,Europe,Europe,23,6,0,0,1,3,FIFAWorldCupqualification,Poznań,Poland,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,SanMarino,England,Europe,Europe,122,10,0,0,1,7,FIFAWorldCupqualification,Bologna,Italy,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Spain,Denmark,Europe,Europe,7,5,0,0,1,0,FIFAWorldCupqualification,Seville,Spain,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Switzerland,Estonia,Europe,Europe,13,119,0,0,4,0,FIFAWorldCupqualification,Zürich,Switzerland,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-17,Wales,Romania,Europe,Europe,28,15,0,0,1,2,FIFAWorldCupqualification,Cardiff,Wales,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-22,Gambia,Mauritania,Africa,Africa,153,144,0,0,2,4,Friendly,Banjul,Gambia,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-26,Gambia,Ghana,Africa,Africa,153,41,0,0,3,0,Friendly,Freetown,SierraLeone,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-26,SierraLeone,Guinea,Africa,Africa,84,62,0,0,1,1,AmílcarCabralCup,Freetown,SierraLeone,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-27,Guinea-Bissau,Mauritania,Africa,Africa,132,144,0,0,1,0,AmílcarCabralCup,Freetown,SierraLeone,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-27,Senegal,Mali,Africa,Africa,63,75,0,0,0,1,AmílcarCabralCup,Freetown,SierraLeone,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-28,Guinea,Gambia,Africa,Africa,62,153,0,0,1,2,AmílcarCabralCup,Freetown,SierraLeone,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-28,SierraLeone,Ghana,Africa,Africa,84,41,0,0,2,3,Friendly,Freetown,SierraLeone,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-11-29,Mali,Guinea-Bissau,Africa,Africa,75,132,0,0,3,0,AmílcarCabralCup,Freetown,SierraLeone,True,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
