Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
53977,62182,116159,115928,123849,239777,148889,130261,279150,72050,110725,182775,30757,41150,71907,4297,9045,13342,Napoli
6085,7013,13098,14095,14736,28831,12858,12104,24962,6187,9468,15655,2304,2899,5203,212,412,624,Novara
2290,3084,5374,4979,6108,11087,5431,4518,9949,2508,3038,5546,905,1210,2115,72,128,200,Nuoro
1720,2310,4030,3557,4294,7851,3586,3120,6706,1553,2078,3631,544,796,1340,46,100,146,Oristano
21825,24214,46039,29854,30857,60711,21689,21728,43417,11413,20599,32012,4715,5979,10694,278,395,673,Padova
36275,42468,78743,83977,87553,171530,95390,87823,183213,48594,70047,118641,21161,27834,48995,4384,5754,10138,Palermo
12885,15115,28000,21098,23269,44367,16989,16404,33393,9400,15205,24605,3417,4533,7950,242,359,601,Parma
7453,8603,16056,8746,9889,18635,7326,7166,14492,3761,6733,10494,1350,1626,2976,104,177,281,Pavia
10802,13838,24640,17971,18920,36891,13069,11876,24945,7744,11747,19491,3091,4386,7477,142,306,448,Perugia
9993,12226,22219,18651,19527,38178,12573,11443,24016,7194,10982,18176,2969,4505,7474,225,523,748,Pescara
6538,7425,13963,14618,15292,29910,11748,11452,23200,6125,9964,16089,2224,2797,5021,127,221,348,Piacenza
8671,9738,18409,10972,11586,22558,8072,7365,15437,4583,8252,12835,1715,2206,3921,97,202,299,Pisa
3661,4830,8491,10661,11061,21722,10289,8633,18922,6300,9791,16091,1850,2657,4507,156,286,442,Pistoia
3794,4198,7992,8081,8173,16254,6247,6017,12264,2789,5013,7802,1160,1465,2625,48,106,154,Pordenone
4575,5586,10161,9881,9896,19777,6126,5239,11365,3348,5106,8454,1418,1971,3389,215,479,694,Potenza
6397,8180,14577,22303,25035,47338,28766,24041,52807,17752,22908,40660,6026,7703,13729,664,1096,1760,Prato
3528,3881,7409,8201,9235,17436,8841,7876,16717,4744,6693,11437,1901,2648,4549,241,384,625,Ragusa
5506,6817,12323,12580,13821,26401,10004,9289,19293,5369,7884,13253,2158,2943,5101,145,223,368,Ravenna
2736,3498,6234,6720,6986,13706,4457,4161,8618,2442,3797,6239,941,1312,2253,55,116,171,Rieti
