Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
26,33,59,155,150,305,170,135,305,97,189,286,22,31,53,3,2,5,Vische
98,99,197,241,276,517,240,221,461,105,182,287,27,39,66,3,2,5,Meina
35,44,79,125,127,252,149,143,292,106,126,232,26,28,54,3,4,7,Massino Visconti
9,14,23,49,60,109,91,63,154,69,63,132,14,20,34,1,4,5,Cavallerleone
37,66,103,226,204,430,242,218,460,129,158,287,43,31,74,3,2,5,Pontedassio
156,177,333,604,628,1232,669,614,1283,349,505,854,172,172,344,28,41,69,Ceva
13,17,30,85,73,158,117,85,202,75,110,185,14,10,24,1,1,2,Mattie
15,16,31,43,44,87,81,55,136,30,37,67,7,11,18,2,0,2,Villeneuve
2,8,10,18,19,37,38,36,74,30,39,69,10,8,18,1,2,3,Tornata
222,243,465,939,820,1759,1693,1403,3096,648,930,1578,307,421,728,108,176,284,Frignano
342,473,815,1720,1550,3270,2593,2162,4755,1173,1509,2682,421,428,849,26,30,56,Ospitaletto
81,94,175,254,257,511,229,221,450,163,220,383,47,80,127,2,9,11,Lucignano
18,14,32,58,56,114,113,101,214,56,72,128,26,16,42,7,8,15,Barbata
85,99,184,360,334,694,414,325,739,215,302,517,89,82,171,9,24,33,Camposanto
30,34,64,200,167,367,213,183,396,133,160,293,57,61,118,2,5,7,Casale Cremasco-Vidolasco
3,1,4,6,10,16,14,5,19,4,14,18,3,3,6,0,1,1,Calice al Cornoviglio
18,33,51,98,93,191,126,120,246,73,87,160,19,33,52,1,6,7,Monteleone Sabino
203,230,433,729,673,1402,660,539,1199,423,475,898,262,358,620,79,190,269,Bisignano
42,38,80,190,173,363,212,172,384,107,129,236,34,52,86,2,4,6,Civitella San Paolo
64,89,153,294,261,555,239,210,449,142,223,365,50,69,119,2,17,19,Attigliano
136,184,320,703,596,1299,565,508,1073,372,559,931,128,138,266,11,13,24,Cappella Maggiore
80,98,178,430,381,811,461,401,862,256,333,589,106,119,225,4,16,20,Corchiano
498,673,1171,1342,1355,2697,1592,1322,2914,816,1162,1978,388,614,1002,105,196,301,Campi Salentina
206,277,483,698,689,1387,734,651,1385,367,576,943,172,242,414,20,51,71,Otranto
68,93,161,212,228,440,250,214,464,153,196,349,47,69,116,6,2,8,Sabbioneta
36,37,73,185,161,346,169,146,315,122,162,284,38,79,117,2,5,7,Apecchio
122,147,269,619,502,1121,635,517,1152,363,531,894,118,188,306,7,12,19,Meolo
44,46,90,302,232,534,283,256,539,116,179,295,63,57,120,6,6,12,Vajont
535,540,1075,1233,1119,2352,1205,1114,2319,581,1084,1665,220,301,521,14,22,36,Dolo
58,79,137,227,208,435,279,177,456,170,243,413,48,98,146,9,19,28,Martignano
199,249,448,465,491,956,333,314,647,205,314,519,76,92,168,4,16,20,Sori
243,362,605,1313,1199,2512,1291,1110,2401,761,993,1754,275,359,634,8,20,28,Santa Lucia di Piave
91,109,200,403,337,740,503,433,936,272,351,623,140,224,364,28,75,103,Volturara Irpina
274,382,656,1382,1414,2796,2087,1678,3765,1072,1415,2487,404,434,838,32,60,92,Carpenedolo
267,351,618,823,744,1567,629,566,1195,394,623,1017,135,167,302,4,5,9,Martignacco
1,2,3,11,7,18,13,11,24,10,14,24,2,0,2,0,0,0,Dogna
11,17,28,62,59,121,55,48,103,40,50,90,11,9,20,0,1,1,Pontinvrea
21,25,46,76,74,150,93,65,158,74,85,159,20,39,59,5,24,29,Orria
100,156,256,577,581,1158,764,623,1387,423,555,978,142,164,306,9,10,19,Lonate Ceppino
258,360,618,1241,1169,2410,1384,1158,2542,598,906,1504,222,271,493,20,19,39,Pogliano Milanese
36,56,92,169,145,314,137,106,243,71,126,197,30,51,81,3,13,16,Marzano Appio
96,111,207,352,379,731,440,325,765,255,314,569,88,192,280,12,48,60,Paglieta
45,54,99,150,149,299,160,145,305,84,97,181,38,84,122,5,22,27,Castelfranci
23,25,48,80,82,162,111,71,182,70,94,164,10,36,46,0,4,4,Picciano
23,28,51,94,91,185,138,113,251,74,89,163,39,51,90,13,33,46,Aquara
66,87,153,334,315,649,379,277,656,194,208,402,80,92,172,4,8,12,Folignano
42,50,92,134,151,285,162,131,293,70,82,152,25,15,40,2,2,4,Vignone
11,14,25,48,47,95,65,58,123,41,44,85,13,14,27,0,0,0,Isolabella
30,35,65,112,120,232,151,133,284,97,130,227,35,31,66,1,5,6,Cicognolo
19,29,48,77,89,166,172,160,332,88,119,207,24,48,72,8,15,23,Illorai
83,98,181,342,356,698,456,424,880,296,359,655,128,209,337,22,18,40,Giarratana
37,39,76,160,202,362,300,275,575,202,237,439,93,95,188,22,13,35,Contessa Entellina
84,99,183,481,422,903,419,360,779,224,359,583,98,107,205,0,8,8,Monastier di Treviso
32,32,64,101,116,217,130,104,234,95,126,221,26,38,64,1,6,7,Pieve Albignola
22,37,59,192,181,373,293,221,514,112,188,300,31,48,79,4,14,18,Borgo San Martino
217,329,546,1323,1331,2654,1488,1334,2822,621,787,1408,345,474,819,64,88,152,Motta Sant'Anastasia
45,64,109,211,204,415,163,129,292,80,117,197,30,30,60,0,1,1,Caresanablot
49,100,149,339,350,689,662,529,1191,339,363,702,105,179,284,17,42,59,San Giovanni Suergiu
51,112,163,145,282,427,417,346,763,348,294,642,121,98,219,20,9,29,Orune
42,41,83,135,123,258,115,102,217,78,81,159,30,55,85,11,25,36,Samo
64,94,158,278,283,561,351,290,641,239,307,546,74,75,149,8,10,18,Alice Castello
530,668,1198,1633,1703,3336,1599,1257,2856,792,1148,1940,343,546,889,14,27,41,Santarcangelo di Romagna
1042,1385,2427,6364,6068,12432,7584,6959,14543,3729,5328,9057,1274,1804,3078,128,267,395,Settimo Torinese
91,132,223,266,247,513,174,138,312,109,163,272,59,90,149,9,13,22,Cetraro
96,119,215,393,421,814,545,423,968,321,410,731,88,165,253,9,23,32,Piancastagnaio
69,84,153,220,186,406,214,209,423,146,185,331,56,84,140,25,58,83,San Vito sullo Ionio
113,180,293,565,636,1201,839,581,1420,388,420,808,142,258,400,31,52,83,Muravera
3245,4544,7789,9779,10202,19981,10795,9602,20397,4498,5387,9885,1933,2441,4374,318,481,799,Quartu Sant'Elena
5,12,17,65,57,122,53,61,114,53,67,120,6,16,22,0,0,0,Canal San Bovo
768,1071,1839,2832,2726,5558,2711,2195,4906,1682,2302,3984,505,756,1261,35,67,102,Montevarchi
58,96,154,228,207,435,229,211,440,114,120,234,41,59,100,1,1,2,Lesignano de' Bagni
4,4,8,24,16,40,47,35,82,32,30,62,24,28,52,20,45,65,Pietrapaola
43,51,94,165,192,357,225,177,402,153,156,309,99,151,250,47,71,118,Monte San Giacomo
75,129,204,608,510,1118,511,477,988,339,522,861,95,108,203,4,5,9,Montereale Valcellina
3,8,11,22,37,59,58,45,103,64,76,140,6,6,12,0,0,0,Fabbriche di Vergemoli
108,127,235,415,366,781,394,302,696,220,334,554,125,162,287,17,31,48,Brienza
531,615,1146,1580,1490,3070,1025,929,1954,645,863,1508,283,436,719,29,63,92,Amantea
268,286,554,1118,993,2111,1403,1189,2592,779,903,1682,324,446,770,80,216,296,Bagnara Calabra
134,174,308,524,570,1094,558,483,1041,369,495,864,80,107,187,9,6,15,Gravedona ed Uniti
27,40,67,157,150,307,250,190,440,152,177,329,51,46,97,2,2,4,Lodrino
1,0,1,15,6,21,18,23,41,10,9,19,7,6,13,3,1,4,Pertica Bassa
12,13,25,54,61,115,92,88,180,45,78,123,11,22,33,1,5,6,Isolabona
59,87,146,251,249,500,336,251,587,159,166,325,79,117,196,14,20,34,Briatico
12,6,18,35,39,74,39,25,64,38,56,94,4,8,12,0,1,1,Cereseto
447,557,1004,1593,1667,3260,1884,1540,3424,856,1247,2103,289,510,799,26,53,79,Vetralla
154,166,320,475,501,976,476,480,956,216,297,513,82,78,160,2,3,5,Cavalese
8,1,9,16,17,33,13,17,30,11,11,22,4,4,8,0,0,0,Montegallo
1403,1726,3129,4305,4799,9104,3612,3657,7269,1810,2927,4737,629,766,1395,50,85,135,Rapallo
75,88,163,292,338,630,444,404,848,283,372,655,98,117,215,15,13,28,Bagnolo Piemonte
23,42,65,135,128,263,220,181,401,141,178,319,50,103,153,11,26,37,Castelluccio Valmaggiore
89,102,191,308,291,599,429,372,801,255,364,619,84,158,242,10,24,34,Pietramontecorvino
521,600,1121,1396,1384,2780,1320,1367,2687,816,1314,2130,223,303,526,8,15,23,Albisola Superiore
6,8,14,41,25,66,37,36,73,27,40,67,14,11,25,0,2,2,Sefro
2,5,7,43,37,80,40,28,68,29,44,73,4,3,7,0,0,0,Roncobello
195,187,382,651,659,1310,488,545,1033,232,379,611,68,98,166,4,4,8,Asiago
319,402,721,1485,1313,2798,1158,957,2115,727,970,1697,334,490,824,47,103,150,Ferrandina
12,19,31,58,58,116,47,38,85,34,51,85,13,13,26,1,1,2,Sant'Anna d'Alfaedo
25,49,74,108,107,215,172,135,307,102,165,267,35,54,89,4,9,13,San Giuliano di Puglia
369,490,859,1181,1202,2383,1226,1080,2306,764,919,1683,246,341,587,16,44,60,Pianoro
63,92,155,370,364,734,436,363,799,214,323,537,99,88,187,6,10,16,Oppeano
4,5,9,27,25,52,37,37,74,25,39,64,4,2,6,0,0,0,Traversella
18,18,36,68,53,121,40,46,86,54,58,112,18,27,45,1,2,3,San Paolo di Jesi
49,34,83,171,144,315,151,139,290,79,119,198,29,71,100,4,10,14,Caramanico Terme
485,536,1021,1845,1676,3521,2194,1962,4156,1043,1360,2403,360,418,778,18,30,48,Romano d'Ezzelino
287,329,616,1076,1040,2116,1500,1262,2762,839,1280,2119,241,305,546,26,42,68,Garlasco
65,67,132,190,209,399,184,128,312,85,124,209,37,68,105,24,44,68,San Sosti
34,36,70,187,166,353,235,207,442,128,202,330,20,28,48,2,4,6,Ormea
22,31,53,178,149,327,174,157,331,122,177,299,29,37,66,4,2,6,Dego
16,15,31,69,70,139,107,111,218,68,74,142,32,42,74,11,34,45,Careri
111,104,215,505,500,1005,746,631,1377,482,594,1076,230,306,536,123,242,365,Laureana di Borrello
39,29,68,163,160,323,248,202,450,136,152,288,46,52,98,5,15,20,Incisa Scapaccino
15,23,38,111,115,226,126,93,219,77,110,187,31,24,55,0,1,1,Segonzano
20,15,35,49,66,115,78,77,155,51,63,114,12,17,29,0,1,1,Pecetto di Valenza
350,552,902,1469,1364,2833,1199,1077,2276,698,1123,1821,255,371,626,18,32,50,Finale Emilia
13,9,22,44,33,77,42,38,80,24,41,65,7,11,18,0,0,0,Melazzo
110,149,259,394,471,865,512,454,966,333,443,776,92,118,210,11,16,27,San Salvatore Monferrato
18,25,43,93,94,187,118,89,207,77,125,202,21,22,43,2,3,5,Valmacca
329,422,751,1125,1117,2242,1017,907,1924,658,1031,1689,206,357,563,10,24,34,Bondeno
127,144,271,507,454,961,813,731,1544,441,617,1058,122,145,267,3,7,10,Cazzago San Martino
17,29,46,60,66,126,62,58,120,29,32,61,9,12,21,1,1,2,Montaldo Torinese
26,29,55,136,144,280,196,158,354,103,150,253,38,29,67,0,2,2,Pieranica
77,98,175,327,312,639,553,460,1013,290,402,692,69,94,163,3,6,9,Erbusco
184,224,408,735,815,1550,827,709,1536,396,555,951,134,166,300,8,11,19,Pozzuolo Martesana
30,30,60,111,92,203,107,91,198,46,61,107,39,52,91,6,6,12,Fontegreca
71,128,199,307,422,729,676,562,1238,479,423,902,126,218,344,26,36,62,Bonorva
54,83,137,475,488,963,784,624,1408,446,518,964,128,204,332,24,17,41,Sarroch
197,215,412,425,473,898,597,466,1063,281,354,635,149,232,381,43,49,92,Bivona
72,75,147,294,338,632,574,545,1119,379,499,878,179,263,442,36,57,93,Vallelunga Pratameno
148,138,286,420,434,854,591,542,1133,343,384,727,212,353,565,67,87,154,Cattolica Eraclea
78,114,192,355,390,745,520,421,941,243,278,521,75,106,181,8,15,23,Abbasanta
83,139,222,615,617,1232,1423,1192,2615,634,615,1249,279,401,680,48,83,131,Maracalagonis
84,47,131,384,306,690,710,694,1404,290,310,600,185,221,406,51,135,186,San Luca
229,267,496,796,786,1582,798,696,1494,337,502,839,134,223,357,30,78,108,Teano
2283,2835,5118,7507,7557,15064,6818,5928,12746,3141,4262,7403,1499,1996,3495,202,485,687,Battipaglia
0,3,3,24,19,43,23,13,36,11,21,32,3,2,5,0,0,0,Massimeno
74,105,179,319,283,602,373,329,702,234,321,555,48,132,180,8,20,28,Calasetta
3,1,4,9,10,19,14,9,23,4,10,14,4,1,5,0,0,0,Cortino
27,47,74,158,187,345,220,168,388,167,185,352,37,49,86,13,12,25,Florinas
39,52,91,185,182,367,195,155,350,147,187,334,40,78,118,9,18,27,Sanarica
541,624,1165,1368,1281,2649,946,924,1870,492,811,1303,224,267,491,3,10,13,Selvazzano Dentro
139,157,296,419,394,813,357,304,661,209,265,474,79,82,161,0,1,1,Fumane
44,62,106,219,225,444,350,272,622,202,265,467,38,94,132,5,7,12,Gazzo Veronese
32,49,81,192,177,369,285,279,564,156,184,340,49,48,97,4,1,5,Scalenghe
1,0,1,4,5,9,5,1,6,6,5,11,0,0,0,0,0,0,Montecrestese
360,469,829,949,834,1783,754,729,1483,419,565,984,173,267,440,22,59,81,Atri
378,518,896,1427,1436,2863,1615,1362,2977,959,1121,2080,449,597,1046,91,139,230,Bernalda
295,400,695,1419,1274,2693,1304,1187,2491,615,934,1549,280,307,587,12,19,31,Valeggio sul Mincio
60,56,116,183,224,407,161,148,309,94,161,255,41,30,71,0,1,1,Spiazzo
1166,1424,2590,2866,2775,5641,2229,2140,4369,1056,1876,2932,387,641,1028,25,38,63,Portogruaro
4,4,8,8,10,18,18,12,30,10,6,16,2,1,3,0,0,0,Pozzol Groppo
4,7,11,26,23,49,33,27,60,45,58,103,4,3,7,0,1,1,Cosio d'Arroscia
55,59,114,134,125,259,126,107,233,78,103,181,20,56,76,1,4,5,Mondavio
316,356,672,1117,907,2024,939,935,1874,595,766,1361,268,447,715,42,131,173,Montella
14,11,25,56,55,111,75,70,145,53,59,112,12,19,31,2,9,11,Guardiaregia
488,701,1189,2133,2175,4308,1850,1351,3201,877,1263,2140,388,570,958,33,83,116,Ferentino
15,17,32,109,78,187,71,73,144,58,72,130,16,15,31,0,0,0,Caldes
22,21,43,82,80,162,77,70,147,65,72,137,17,35,52,11,13,24,Ottati
64,63,127,208,221,429,159,138,297,125,196,321,37,52,89,2,2,4,Fivizzano
18,27,45,92,89,181,126,112,238,81,97,178,37,56,93,17,20,37,Magisano
28,45,73,125,101,226,102,69,171,56,95,151,22,52,74,5,4,9,Colli a Volturno
8,15,23,64,63,127,87,63,150,59,76,135,17,17,34,3,0,3,San Godenzo
1011,1129,2140,2616,2991,5607,2809,2394,5203,1485,2400,3885,448,682,1130,21,45,66,Pietrasanta
12,22,34,54,59,113,76,73,149,123,127,250,47,75,122,13,33,46,Tavenna
82,139,221,496,468,964,516,461,977,328,437,765,112,144,256,9,7,16,Medesano
20,40,60,80,104,184,130,74,204,81,104,185,45,63,108,23,59,82,Montegiordano
38,33,71,124,129,253,150,122,272,68,98,166,29,50,79,1,3,4,Mercatino Conca
336,481,817,1604,1569,3173,1557,1256,2813,891,1201,2092,307,395,702,18,44,62,Sant'Ambrogio di Valpolicella
19,27,46,129,100,229,112,93,205,81,101,182,25,26,51,2,2,4,Solignano
119,159,278,509,477,986,551,471,1022,267,386,653,110,110,220,4,6,10,Villafranca Padovana
89,101,190,355,387,742,434,342,776,211,306,517,77,69,146,2,3,5,Rovetta
163,215,378,519,420,939,794,716,1510,432,553,985,201,323,524,49,84,133,Santa Croce di Magliano
21,37,58,136,121,257,101,105,206,58,84,142,16,23,39,0,1,1,Fiumalbo
40,49,89,170,137,307,138,141,279,127,205,332,36,53,89,6,8,14,Diso
106,149,255,418,451,869,491,415,906,199,277,476,76,106,182,17,14,31,Viguzzolo
70,96,166,227,260,487,276,255,531,137,177,314,32,49,81,4,7,11,Molare
43,46,89,178,213,391,226,206,432,122,182,304,28,38,66,15,11,26,Torriglia
218,254,472,584,668,1252,586,605,1191,259,420,679,101,106,207,7,8,15,Stresa
6,7,13,11,19,30,26,17,43,19,19,38,3,2,5,0,0,0,Campertogno
45,50,95,149,156,305,129,91,220,96,147,243,63,98,161,20,61,81,San Fele
410,491,901,1511,1611,3122,1610,1548,3158,1016,1361,2377,347,454,801,18,36,54,Scandiano
325,406,731,1483,1483,2966,1608,1304,2912,926,1281,2207,351,490,841,21,50,71,Novellara
11,18,29,51,32,83,71,57,128,57,65,122,31,57,88,10,27,37,Lupara
160,234,394,685,672,1357,580,547,1127,331,492,823,94,172,266,4,7,11,Levanto
47,43,90,171,149,320,159,144,303,74,119,193,38,43,81,24,52,76,Terranova di Pollino
597,714,1311,2469,2335,4804,3105,2639,5744,1394,1767,3161,808,933,1741,242,434,676,Gioia Tauro
131,168,299,430,431,861,398,309,707,241,353,594,70,112,182,9,8,17,Anghiari
8,13,21,59,57,116,67,45,112,46,60,106,10,18,28,0,2,2,Santa Luce
593,554,1147,1684,1566,3250,2504,2137,4641,1488,2026,3514,924,1279,2203,121,229,350,San Nicandro Garganico
11,12,23,41,42,83,34,35,69,24,47,71,8,5,13,1,2,3,Conzano
27,28,55,56,56,112,39,46,85,38,35,73,6,7,13,0,0,0,Coassolo Torinese
1,1,2,10,15,25,30,20,50,16,17,33,4,2,6,1,0,1,Rossa
15,22,37,136,126,262,183,146,329,105,155,260,20,31,51,2,4,6,Caresana
76,90,166,322,365,687,484,419,903,270,307,577,89,132,221,22,17,39,San Vito Lo Capo
7,19,26,37,40,77,78,56,134,48,69,117,9,28,37,5,3,8,Sorradile
54,105,159,244,264,508,461,376,837,199,201,400,71,115,186,9,20,29,Villaspeciosa
10,22,32,70,99,169,217,172,389,82,91,173,45,68,113,7,5,12,Burgos
8,5,13,27,24,51,38,37,75,50,63,113,18,22,40,1,3,4,Cairano
85,114,199,314,310,624,430,363,793,223,353,576,62,96,158,2,6,8,Occhieppo Superiore
217,216,433,673,667,1340,881,708,1589,632,832,1464,308,399,707,39,77,116,Lesina
307,336,643,893,872,1765,925,769,1694,429,605,1034,185,194,379,19,16,35,Robbiate
695,822,1517,1690,1953,3643,1954,1794,3748,1022,1594,2616,357,425,782,24,52,76,Saluzzo
8,10,18,30,38,68,46,40,86,22,34,56,3,7,10,0,0,0,Ternengo
65,106,171,353,342,695,645,479,1124,343,425,768,149,256,405,23,39,62,Peschici
261,301,562,899,941,1840,1133,994,2127,650,771,1421,319,389,708,56,66,122,Solarino
206,250,456,1010,909,1919,1200,1079,2279,536,701,1237,314,343,657,43,26,69,Isola delle Femmine
28,39,67,152,147,299,206,173,379,128,159,287,37,23,60,2,2,4,Verrone
1604,2077,3681,4874,5322,10196,4597,3789,8386,2643,3730,6373,892,1415,2307,54,118,172,Riccione
2,4,6,8,6,14,23,14,37,23,14,37,3,9,12,1,1,2,Cantagallo
98,138,236,583,645,1228,709,514,1223,335,420,755,125,119,244,7,10,17,Massalengo
40,38,78,110,107,217,99,76,175,78,98,176,22,37,59,9,13,22,Joppolo
43,74,117,157,151,308,258,201,459,137,217,354,33,54,87,6,2,8,Campiglia Marittima
8,14,22,55,59,114,88,66,154,50,89,139,9,14,23,1,0,1,Villa Basilica
22,30,52,51,63,114,68,53,121,31,57,88,13,34,47,4,5,9,Sant'Angelo in Pontano
11,15,26,75,48,123,56,42,98,38,64,102,5,23,28,1,0,1,Rocca Massima
9,12,21,35,37,72,37,37,74,45,48,93,11,17,28,0,2,2,Concerviano
33,59,92,161,190,351,451,420,871,291,224,515,104,123,227,19,23,42,Irgoli
806,1072,1878,2467,2657,5124,2326,2021,4347,1122,1703,2825,470,698,1168,9,32,41,Cattolica
387,441,828,1077,1080,2157,787,814,1601,282,524,806,160,207,367,10,9,19,Manziana
8,6,14,34,42,76,54,45,99,41,50,91,8,23,31,3,2,5,Morro d'Oro
28,35,63,119,111,230,135,95,230,82,113,195,29,48,77,0,2,2,Castellina Marittima
694,852,1546,2428,2195,4623,1300,1252,2552,818,1152,1970,360,491,851,22,35,57,Piano di Sorrento
18,13,31,41,34,75,59,55,114,57,49,106,38,50,88,8,22,30,Umbriatico
17,24,41,159,135,294,110,109,219,69,129,198,21,31,52,5,8,13,Travesio
381,469,850,1779,1479,3258,1604,1519,3123,750,1196,1946,255,317,572,16,25,41,Maniago
114,92,206,214,230,444,208,164,372,142,192,334,61,111,172,6,27,33,Moio della Civitella
114,143,257,441,468,909,423,308,731,219,317,536,85,126,211,17,37,54,Minori
11,13,24,43,53,96,81,57,138,53,73,126,17,44,61,10,21,31,Monasterace
13,23,36,115,94,209,157,150,307,108,138,246,14,21,35,0,0,0,Zone
48,73,121,328,348,676,382,313,695,221,264,485,81,74,155,12,19,31,Canossa
10,8,18,18,36,54,31,15,46,16,23,39,7,8,15,0,1,1,Ortignano Raggiolo
37,31,68,158,128,286,155,119,274,75,124,199,26,27,53,2,4,6,Ponzano Romano
11,22,33,77,78,155,111,100,211,59,80,139,7,10,17,0,0,0,Bardineto
10,4,14,25,23,48,24,13,37,23,29,52,5,7,12,2,2,4,Vacone
98,97,195,449,409,858,545,487,1032,300,432,732,103,137,240,10,18,28,Pontelongo
91,111,202,345,254,599,290,273,563,131,216,347,47,80,127,4,7,11,Saonara
20,14,34,78,70,148,38,51,89,30,37,67,12,8,20,1,0,1,Ronzone
92,132,224,583,463,1046,499,471,970,348,494,842,106,137,243,6,1,7,Orsago
76,104,180,549,513,1062,532,411,943,295,449,744,88,154,242,1,10,11,San Vito Romano
42,46,88,182,146,328,258,204,462,104,176,280,49,72,121,13,7,20,Poggiorsini
5,12,17,38,25,63,23,22,45,33,40,73,18,35,53,2,2,4,Pennadomo
19,23,42,165,147,312,236,187,423,129,182,311,26,37,63,0,0,0,Enego
34,25,59,122,105,227,126,109,235,86,133,219,30,17,47,0,2,2,Cazzano di Tramigna
51,63,114,237,183,420,211,193,404,55,128,183,30,44,74,2,1,3,Mariano del Friuli
66,96,162,286,289,575,352,258,610,165,244,409,60,65,125,2,4,6,Bagnolo San Vito
234,326,560,1107,1109,2216,1149,903,2052,472,750,1222,252,366,618,31,90,121,Sparanise
44,52,96,235,230,465,233,211,444,120,184,304,37,52,89,1,0,1,Gallio
29,33,62,134,120,254,126,123,249,87,137,224,25,47,72,5,2,7,Penna in Teverina
221,255,476,785,837,1622,741,579,1320,496,728,1224,218,325,543,48,64,112,Grotte
416,509,925,1031,1155,2186,1691,1433,3124,854,1152,2006,509,649,1158,130,165,295,Nicosia
55,57,112,264,211,475,469,430,899,286,330,616,64,113,177,32,34,66,Favignana
54,55,109,129,120,249,121,100,221,71,108,179,47,69,116,8,29,37,Petrizzi
37,52,89,208,215,423,349,322,671,193,230,423,67,60,127,5,4,9,Paitone
1642,2124,3766,6033,6610,12643,6939,5414,12353,4464,6302,10766,1176,1767,2943,88,175,263,Scandicci
983,937,1920,1247,1375,2622,696,770,1466,243,284,527,248,205,453,5,4,9,Basiglio
131,158,289,609,561,1170,562,498,1060,274,348,622,109,124,233,3,8,11,Basiano
58,76,134,276,287,563,423,330,753,178,251,429,97,68,165,3,11,14,San Gervasio Bresciano
33,65,98,224,207,431,217,151,368,104,196,300,35,75,110,4,3,7,Roviano
36,68,104,141,142,283,129,87,216,60,81,141,25,27,52,2,0,2,Malagnino
39,29,68,86,90,176,81,59,140,76,90,166,29,55,84,2,17,19,Controne
75,102,177,251,217,468,277,201,478,98,170,268,58,59,117,8,26,34,Marzano di Nola
247,337,584,1007,1029,2036,1896,1484,3380,689,917,1606,427,548,975,54,207,261,San Marzano sul Sarno
47,64,111,233,241,474,313,252,565,181,238,419,60,85,145,3,11,14,Malalbergo
26,45,71,102,95,197,131,81,212,51,80,131,22,32,54,3,8,11,Pico
13,15,28,47,40,87,38,33,71,21,38,59,3,5,8,0,0,0,Sant'Agata Fossili
45,49,94,137,130,267,130,92,222,89,91,180,25,31,56,2,0,2,Brinzio
1,0,1,5,2,7,5,5,10,6,7,13,0,0,0,0,0,0,Rondanina
360,480,840,1096,1108,2204,901,751,1652,625,921,1546,224,354,578,17,23,40,Loreto
9,8,17,59,65,124,86,64,150,52,67,119,7,14,21,1,0,1,Capriana
42,50,92,93,100,193,87,76,163,57,75,132,25,48,73,5,22,27,Gioi
56,78,134,348,258,606,241,219,460,144,228,372,41,52,93,1,2,3,Magnano in Riviera
156,152,308,570,526,1096,821,717,1538,471,694,1165,138,128,266,14,17,31,Gozzano
48,41,89,152,151,303,222,186,408,93,136,229,44,43,87,2,7,9,Casalzuigno
39,66,105,357,340,697,373,258,631,236,282,518,73,53,126,9,9,18,Cembra Lisignago
12,13,25,57,60,117,91,79,170,58,84,142,7,13,20,0,2,2,Mottalciata
45,46,91,143,106,249,83,67,150,55,90,145,26,39,65,4,12,16,Spadola
5,11,16,49,34,83,53,40,93,29,46,75,7,13,20,0,0,0,Oneta
87,123,210,280,294,574,291,227,518,148,218,366,61,82,143,9,27,36,Marcellinara
24,13,37,76,70,146,103,73,176,61,86,147,31,47,78,8,10,18,Calciano
27,37,64,112,120,232,148,128,276,73,82,155,16,26,42,2,1,3,Visone
131,150,281,465,487,952,387,330,717,218,292,510,161,219,380,31,56,87,Brancaleone
12,11,23,45,41,86,44,31,75,34,52,86,7,24,31,2,2,4,Cerrina Monferrato
151,151,302,595,591,1186,813,698,1511,412,551,963,149,174,323,17,23,40,Favria
11,20,31,61,73,134,113,86,199,66,79,145,23,23,46,4,4,8,Cargeghe
1709,2155,3864,6147,6321,12468,8551,7559,16110,4806,6175,10981,2270,2951,5221,477,494,971,Bagheria
7,8,15,59,48,107,75,57,132,56,86,142,13,15,28,0,0,0,Cesara
44,51,95,131,125,256,116,88,204,51,71,122,21,29,50,4,5,9,Summonte
24,33,57,110,91,201,131,128,259,76,134,210,29,32,61,0,5,5,Pontestura
28,19,47,75,78,153,72,82,154,51,63,114,12,17,29,1,3,4,Valsolda
1102,1232,2334,4019,3638,7657,3278,3094,6372,1714,2875,4589,557,852,1409,16,34,50,Spinea
198,213,411,878,789,1667,1096,934,2030,528,846,1374,190,223,413,11,16,27,Carmignano di Brenta
58,77,135,275,291,566,265,243,508,109,156,265,46,41,87,0,2,2,Mossa
23,34,57,182,137,319,152,141,293,86,154,240,24,25,49,0,1,1,Enemonzo
39,69,108,233,236,469,262,236,498,115,191,306,35,28,63,2,3,5,Silvano d'Orba
26,24,50,142,155,297,223,173,396,169,178,347,55,94,149,10,25,35,Fumone
120,119,239,239,226,465,170,179,349,124,170,294,49,84,133,6,20,26,Marsico Nuovo
25,25,50,101,82,183,108,85,193,66,102,168,17,18,35,2,3,5,Castelletto di Branduzzo
10,25,35,79,73,152,103,89,192,60,78,138,17,14,31,1,0,1,Orco Feglino
1,0,1,29,22,51,33,24,57,35,27,62,6,6,12,0,1,1,Livo
0,2,2,21,10,31,9,6,15,11,24,35,0,5,5,0,1,1,Solonghello
293,407,700,1579,1368,2947,1394,1168,2562,702,1122,1824,282,380,662,11,15,26,Fiume Veneto
53,35,88,153,161,314,153,122,275,103,128,231,52,56,108,11,15,26,Sarconi
58,82,140,182,173,355,231,200,431,168,200,368,57,90,147,0,3,3,Montappone
134,179,313,484,477,961,666,569,1235,432,582,1014,120,121,241,8,19,27,Grignasco
187,222,409,904,747,1651,1002,893,1895,505,701,1206,175,205,380,8,16,24,Borgoricco
250,337,587,1043,1049,2092,1010,866,1876,438,553,991,183,244,427,10,23,33,Lanuvio
