Settore,Numero_Aziende,Addetti,Percentuale_Totale,Comune
Industrie,343,Addetti,0.1205,Enna
Servizi,522,Addetti,0.1125999999999999,Enna
Amministrazione,232,Addetti,0.5858,Enna
Altro,692,Addetti,0.2138,Enna
Industrie,869,Addetti,0.4263,Fermo
Servizi,844,Addetti,0.1715,Fermo
Amministrazione,365,Addetti,0.3,Fermo
Altro,920,Addetti,0.3632,Fermo
Industrie,2303,Addetti,1.341,Ferrara
Servizi,3420,Addetti,1.1318,Ferrara
Amministrazione,1032,Addetti,1.1125,Ferrara
Altro,4424,Addetti,1.8605,Ferrara
Industrie,7121,Addetti,3.2731000000000003,Firenze
Servizi,11141,Addetti,3.1325,Firenze
Amministrazione,2737,Addetti,4.494400000000001,Firenze
Altro,17303,Addetti,5.7511,Firenze
Industrie,2016,Addetti,0.9365,Foggia
Servizi,3390,Addetti,0.6633,Foggia
Amministrazione,554,Addetti,1.3063,Foggia
Altro,2735,Addetti,1.0457,Foggia
Industrie,990,Addetti,0.5721,Frosinone
Servizi,1695,Addetti,0.4844,Frosinone
Amministrazione,391,Addetti,1.0626,Frosinone
Altro,1801,Addetti,0.7419,Frosinone
Industrie,2285,Addetti,3.0224,Genova
Servizi,15190,Addetti,3.954,Genova
Amministrazione,2558,Addetti,4.6406,Genova
Altro,23125,Addetti,8.9194,Genova
Industrie,431,Addetti,0.3164,Gorizia
Servizi,1094,Addetti,0.2893,Gorizia
Amministrazione,515,Addetti,0.4256999999999999,Gorizia
Altro,1121,Addetti,0.3754,Gorizia
Industrie,1278,Addetti,0.4704,Grosseto
Servizi,1917,Addetti,0.4972,Grosseto
Amministrazione,433,Addetti,0.6123000000000001,Grosseto
Altro,2407,Addetti,0.9186,Grosseto
Industrie,589,Addetti,0.2237,Imperia
Servizi,1034,Addetti,0.2722,Imperia
Amministrazione,329,Addetti,0.5779,Imperia
Altro,1363,Addetti,0.5215,Imperia
Industrie,453,Addetti,0.1478,Isernia
Servizi,619,Addetti,0.1415,Isernia
Amministrazione,149,Addetti,0.3364,Isernia
Altro,726,Addetti,0.2880999999999999,Isernia
Industrie,1045,Addetti,0.5229,L'Aquila
Servizi,1292,Addetti,0.3093,L'Aquila
Amministrazione,501,Addetti,0.9492,L'Aquila
Altro,1908,Addetti,0.7405999999999999,L'Aquila
Industrie,432,Addetti,0.622,La Spezia
Servizi,2699,Addetti,0.6602,La Spezia
Amministrazione,557,Addetti,0.8515,La Spezia
Altro,3682,Addetti,1.3451,La Spezia
Industrie,2072,Addetti,1.2027,Latina
Servizi,3116,Addetti,0.6954,Latina
Amministrazione,419,Addetti,0.6393,Latina
Altro,3387,Addetti,1.2409,Latina
Industrie,1125,Addetti,0.5581,Lecce
Servizi,2381,Addetti,0.6105,Lecce
Amministrazione,327,Addetti,0.769,Lecce
Altro,3056,Addetti,1.6614999999999998,Lecce
Industrie,1288,Addetti,0.9305,Lecco
Servizi,1352,Addetti,0.3307,Lecco
Amministrazione,445,Addetti,0.6364,Lecco
Altro,1824,Addetti,0.8587999999999999,Lecco
Industrie,1659,Addetti,0.7853,Livorno
Servizi,3821,Addetti,0.9622,Livorno
Amministrazione,393,Addetti,0.7762,Livorno
Altro,4120,Addetti,2.8025,Livorno
Industrie,498,Addetti,0.2113999999999999,Lodi
Servizi,941,Addetti,0.2745,Lodi
Amministrazione,277,Addetti,0.4009,Lodi
Altro,1317,Addetti,0.5238,Lodi
Industrie,1582,Addetti,0.7982,Lucca
Servizi,2491,Addetti,0.6163000000000001,Lucca
Amministrazione,271,Addetti,0.7994,Lucca
Altro,2974,Addetti,1.0424,Lucca
Industrie,775,Addetti,0.3126,Macerata
Servizi,1569,Addetti,0.3731,Macerata
Amministrazione,507,Addetti,0.5993999999999999,Macerata
Altro,1540,Addetti,0.5799000000000001,Macerata
Industrie,836,Addetti,0.7763,Mantova
Servizi,1651,Addetti,0.4506,Mantova
Amministrazione,557,Addetti,0.7918999999999999,Mantova
Altro,2396,Addetti,0.8491,Mantova
Industrie,1069,Addetti,0.593,Matera
Servizi,1235,Addetti,0.3303999999999999,Matera
Amministrazione,308,Addetti,0.5619,Matera
Altro,1237,Addetti,0.6269,Matera
Industrie,493,Addetti,0.3171,Messina
Servizi,3954,Addetti,0.8739000000000001,Messina
Amministrazione,657,Addetti,1.6562,Messina
Altro,5211,Addetti,1.4193,Messina
Industrie,8295,Addetti,14.9725,Milano
Servizi,35795,Addetti,13.8602,Milano
Amministrazione,4991,Addetti,10.1114,Milano
Altro,69136,Addetti,28.8832,Milano
Industrie,4679,Addetti,3.715,Modena
Servizi,5088,Addetti,1.6907,Modena
Amministrazione,1433,Addetti,1.1666,Modena
Altro,7224,Addetti,2.8667,Modena
Industrie,7275,Addetti,3.8532,Napoli
Servizi,19655,Addetti,4.0655,Napoli
Amministrazione,1138,Addetti,6.9474,Napoli
Altro,22180,Addetti,9.8374,Napoli
Industrie,1845,Addetti,1.3893,Novara
Servizi,2345,Addetti,0.6698000000000001,Novara
Amministrazione,616,Addetti,0.7827,Novara
Altro,3450,Addetti,1.2896,Novara
Industrie,741,Addetti,0.2473,Nuoro
Servizi,1003,Addetti,0.2375,Nuoro
Amministrazione,420,Addetti,0.6075999999999999,Nuoro
Altro,1012,Addetti,0.3566,Nuoro
Industrie,470,Addetti,0.1582,Oristano
Servizi,1061,Addetti,0.2632,Oristano
Amministrazione,315,Addetti,0.4991,Oristano
Altro,1048,Addetti,0.4037,Oristano
Industrie,2181,Addetti,1.4737,Padova
Servizi,6340,Addetti,1.9991,Padova
Amministrazione,1617,Addetti,2.3201,Padova
Altro,10153,Addetti,3.9632,Padova
Industrie,4957,Addetti,2.0731,Palermo
Servizi,11971,Addetti,2.7917,Palermo
Amministrazione,2003,Addetti,6.08,Palermo
Altro,11930,Addetti,4.367900000000001,Palermo
Industrie,1262,Addetti,1.7759,Parma
Servizi,4041,Addetti,1.6004,Parma
Amministrazione,418,Addetti,1.2264,Parma
Altro,7107,Addetti,2.5051,Parma
